Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
SRR5413733	(1, 90.40354767184036)	(2, 6.554323725055432)	(3, 1.649667405764967)	(4, 0.647450110864745)	(5, 0.328159645232816)	(6, 0.12416851441241686)	(7, 0.13303769401330376)	(8, 0.05321507760532151)	(9, 0.03547671840354767)	(10, 0.026607538802660754)	(11, 0.017738359201773836)	(12, 0.0)	(13, 0.017738359201773836)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.008869179600886918)
SRR5413734	(1, 84.34639175257732)	(2, 8.560824742268041)	(3, 3.2989690721649487)	(4, 1.3938144329896909)	(5, 0.8989690721649485)	(6, 0.39587628865979385)	(7, 0.4041237113402062)	(8, 0.18144329896907216)	(9, 0.12371134020618556)	(10, 0.12371134020618556)	(11, 0.06597938144329897)	(12, 0.0577319587628866)	(13, 0.041237113402061855)	(14, 0.024742268041237116)	(15, 0.0)	(16, 0.041237113402061855)	(17, 0.0)	(18, 0.0)	(19, 0.016494845360824743)	(20, 0.008247422680412371)	(21, 0.0)	(22, 0.008247422680412371)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.008247422680412371)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)
SRR5413735	(1, 91.14906832298136)	(2, 5.634427684117125)	(3, 1.7968056787932567)	(4, 0.6876663708961845)	(5, 0.26619343389529726)	(6, 0.15527950310559005)	(7, 0.08873114463176575)	(8, 0.06654835847382432)	(9, 0.044365572315882874)	(10, 0.022182786157941437)	(11, 0.0)	(12, 0.022182786157941437)	(13, 0.0)	(14, 0.022182786157941437)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.022182786157941437)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.022182786157941437)	(29, 0.0)	(30, 0.0)	(31, 0.0)
SRR5413736	(1, 97.88997739261492)	(2, 1.6704345641798544)	(3, 0.25119316754584275)	(4, 0.08791760864104496)	(5, 0.012559658377292136)	(6, 0.037678975131876416)	(7, 0.012559658377292136)	(8, 0.025119316754584273)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.012559658377292136)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)
SRR5413737	(1, 98.26086956521739)	(2, 1.4970865082922458)	(3, 0.16136261766024204)	(4, 0.026893769610040343)	(5, 0.02241147467503362)	(6, 0.0044822949350067235)	(7, 0.013446884805020171)	(8, 0.0044822949350067235)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0044822949350067235)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0044822949350067235)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)
SRR5413805	(1, 79.20326282841695)	(2, 8.857061557431471)	(3, 3.765531632362705)	(4, 2.179645262259319)	(5, 1.4606848145689082)	(6, 1.0623162287773877)	(7, 0.7056814948306933)	(8, 0.5159821682633027)	(9, 0.42492649151095513)	(10, 0.3149008821018685)	(11, 0.23522716494356447)	(12, 0.1991842928957602)	(13, 0.11192260267476051)	(14, 0.12140756900313003)	(15, 0.10054064308071707)	(16, 0.09105567675234753)	(17, 0.09105567675234753)	(18, 0.06260077776723894)	(19, 0.07777672389263017)	(20, 0.04173385184482595)	(21, 0.03983685857915205)	(22, 0.030351892250782508)	(23, 0.03224888551645642)	(24, 0.022763919188086883)	(25, 0.03983685857915205)	(26, 0.013278952859717348)	(27, 0.01707293939106516)	(28, 0.009484966328369534)	(29, 0.03224888551645642)	(30, 0.015175946125391254)	(31, 0.12520155553447787)
SRR5413806	(1, 81.50784886014041)	(2, 8.280744655675633)	(3, 3.492545554942021)	(4, 1.9129131497988485)	(5, 1.2443795850753332)	(6, 0.7651652599195393)	(7, 0.6152875285950935)	(8, 0.4318845152638637)	(9, 0.305671688885383)	(10, 0.25636980358128897)	(11, 0.22678867239883252)	(12, 0.11635244931766191)	(13, 0.11438037390549814)	(14, 0.10057584602035181)	(15, 0.0966316951960243)	(16, 0.06310641318924036)	(17, 0.06705056401356788)	(18, 0.04930188530409403)	(19, 0.03746943283111146)	(20, 0.0354973574189477)	(21, 0.02760905577029266)	(22, 0.01972075412163761)	(23, 0.04535773447976651)	(24, 0.01577660329731009)	(25, 0.01774867870947385)	(26, 0.01577660329731009)	(27, 0.01577660329731009)	(28, 0.01577660329731009)	(29, 0.011832452472982567)	(30, 0.005916226236491283)	(31, 0.08874339354736925)
SRR5413807	(1, 80.23236752592106)	(2, 8.47301340109012)	(3, 3.751895414122372)	(4, 2.116716528011147)	(5, 1.3769927461989262)	(6, 0.9651243801483547)	(7, 0.6802999877054219)	(8, 0.45899758206630875)	(9, 0.34629728289824185)	(10, 0.2376951764271956)	(11, 0.20286053850252037)	(12, 0.19876234580549976)	(13, 0.1454858407442318)	(14, 0.12499487725912872)	(15, 0.07786566124339166)	(16, 0.09425843203147412)	(17, 0.09220933568296381)	(18, 0.05122740871275767)	(19, 0.06966927584935044)	(20, 0.030736445227654605)	(21, 0.030736445227654605)	(22, 0.02663825253063399)	(23, 0.018441867136592762)	(24, 0.014343674439572148)	(25, 0.018441867136592762)	(26, 0.010245481742551535)	(27, 0.018441867136592762)	(28, 0.014343674439572148)	(29, 0.010245481742551535)	(30, 0.008196385394041227)	(31, 0.10245481742551533)
SRR5413808	(1, 81.37520793822374)	(2, 10.452253500158584)	(3, 3.568446466830212)	(4, 1.659622118801499)	(5, 0.9126627096373299)	(6, 0.5191173710135735)	(7, 0.3592395771976724)	(8, 0.255675014401947)	(9, 0.1773543137876797)	(10, 0.13981215977422926)	(11, 0.09773905613846583)	(12, 0.07443702950942761)	(13, 0.0589023450900688)	(14, 0.044014939188183284)	(15, 0.04919316732796955)	(16, 0.0394839895658703)	(17, 0.02006563404167179)	(18, 0.029774811803771044)	(19, 0.017476519971778657)	(20, 0.016829241454305373)	(21, 0.011651013314519105)	(22, 0.007767342209679402)	(23, 0.014240127384412238)	(24, 0.007767342209679402)	(25, 0.010356456279572537)	(26, 0.009709177762099253)	(27, 0.006472785174732835)	(28, 0.0051782281397862685)	(29, 0.008414620727152686)	(30, 0.004530949622312985)	(31, 0.04660405325807642)
SRR5413809	(1, 78.91389184531955)	(2, 9.295017991992296)	(3, 4.0443971415539)	(4, 2.28574324666768)	(5, 1.431757133444833)	(6, 0.9958947848563173)	(7, 0.6436571891946683)	(8, 0.43079418174446305)	(9, 0.33703309512949164)	(10, 0.25847650904667785)	(11, 0.2179311742942578)	(12, 0.1621813390096802)	(13, 0.1469768384775227)	(14, 0.1140337539911814)	(15, 0.09376108661497136)	(16, 0.08362475292686636)	(17, 0.07095433581673509)	(18, 0.0810906695048401)	(19, 0.06588616897268258)	(20, 0.02280675079823628)	(21, 0.04054533475242005)	(22, 0.02280675079823628)	(23, 0.025340834220262533)	(24, 0.02280675079823628)	(25, 0.010136333688105013)	(26, 0.01520450053215752)	(27, 0.01520450053215752)	(28, 0.020272667376210026)	(29, 0.0)	(30, 0.020272667376210026)	(31, 0.11149967056915515)
