Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR5413733	(1, 0.0419324)	(2, 0.024581000000000002)	(3, 0.011567500000000001)	(4, 0.0)	(5, 0.0)	(6, 0.00289189)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.00289189)	(33, 0.0014459400000000002)	(34, 0.0014459400000000002)	(35, 0.0014459400000000002)	(36, 0.00433783)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0029798299999999997)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.00161888)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.00176118)	(69, 0.00177223)	(70, 0.0)	(71, 0.0)	(72, 0.007217739999999999)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0038189100000000004)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 0.0)
SRR5413734	(1, 0.0487918)	(2, 0.0221781)	(3, 0.005544530000000001)	(4, 0.0)	(5, 0.0)	(6, 0.00443562)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.00122716)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.00134279)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.00413536)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.00735749)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 0.0)
SRR5413735	(1, 0.0372805)	(2, 0.0176592)	(3, 0.0137349)	(4, 0.0)	(5, 0.0)	(6, 0.0019621300000000003)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0019621300000000003)	(32, 0.0019621300000000003)	(33, 0.0019621300000000003)	(34, 0.0)	(35, 0.0)	(36, 0.0019621300000000003)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0019621300000000003)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0019621300000000003)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.003924260000000001)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.00588639)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 0.0)
SRR5413736	(1, 0.0359185)	(2, 0.0082889)	(3, 0.0248667)	(4, 0.0)	(5, 0.0)	(6, 0.00276297)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.00276297)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.00276297)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.00276297)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.00276297)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0082889)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 0.0)
SRR5413737	(1, 0.0443391)	(2, 0.0193984)	(3, 0.006927989999999999)	(4, 0.0)	(5, 0.0)	(6, 0.00415679)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0030266299999999998)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.00642085)	(69, 0.0016120499999999999)	(70, 0.0)	(71, 0.0)	(72, 0.00979944)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0118714)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 0.0)
SRR5413805	(1, 0.060498500000000004)	(2, 0.0039935000000000005)	(3, 0.0)	(4, 0.0)	(5, 0.10651300000000001)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0143051)	(22, 0.009000270000000001)	(23, 0.0)	(24, 0.00494717)	(25, 0.006318069999999999)	(26, 0.00220536)	(27, 0.0)	(28, 0.00208616)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0022649700000000003)	(33, 0.00101328)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.00023841799999999998)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.000953671)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.11432099999999999)	(62, 0.1809)	(63, 0.025212699999999998)	(64, 0.00011920899999999999)	(65, 0.222384)	(66, 0.0980493)	(67, 0.0143051)	(68, 0.00327824)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.00333785)	(75, 0.0)	(76, 0.00244378)	(77, 0.0)	(78, 0.00011920899999999999)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.000178813)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 5.9604499999999995e-05)
SRR5413806	(1, 0.05751629999999999)	(2, 0.0038305500000000003)	(3, 0.0)	(4, 0.0)	(5, 0.102786)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.015032)	(22, 0.00818345)	(23, 0.0)	(24, 0.00562975)	(25, 0.00696464)	(26, 0.0013929300000000001)	(27, 0.0)	(28, 0.00237959)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.00226351)	(33, 0.000812541)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 5.8038700000000004e-05)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.000928619)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.10986699999999999)	(62, 0.17429)	(63, 0.0246664)	(64, 0.0)	(65, 0.215788)	(66, 0.0939066)	(67, 0.0138712)	(68, 0.00301801)	(69, 0.00017411599999999998)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0027858600000000002)	(75, 0.0)	(76, 0.0021474299999999997)	(77, 0.0)	(78, 5.8038700000000004e-05)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.00034823199999999997)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 5.8038700000000004e-05)
SRR5413807	(1, 0.0586551)	(2, 0.00345374)	(3, 0.0)	(4, 0.0)	(5, 0.0996317)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.013815)	(22, 0.009190470000000001)	(23, 0.000117076)	(24, 0.00485865)	(25, 0.00690748)	(26, 0.00163906)	(27, 0.0)	(28, 0.0023415199999999997)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0019317499999999999)	(33, 0.00105368)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 5.8538e-05)	(44, 0.0)	(45, 0.0)	(46, 0.00017561400000000002)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.00087807)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.10812000000000001)	(62, 0.169526)	(63, 0.0232396)	(64, 5.8538e-05)	(65, 0.209859)	(66, 0.0938364)	(67, 0.0126442)	(68, 0.0024586)	(69, 5.8538e-05)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.00298544)	(75, 0.0)	(76, 0.00187322)	(77, 0.0)	(78, 0.00029268999999999996)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.000117076)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 5.8538e-05)
SRR5413808	(1, 0.0545067)	(2, 0.00300037)	(3, 0.0)	(4, 0.0)	(5, 0.10201299999999999)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0154394)	(22, 0.0108763)	(23, 0.0)	(24, 0.00550068)	(25, 0.00831353)	(26, 0.00175022)	(27, 0.0)	(28, 0.00293786)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0033754200000000005)	(33, 0.00187523)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.00018833400000000002)	(44, 0.0)	(45, 0.0)	(46, 0.00031460200000000003)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0008216170000000001)	(52, 6.326710000000001e-05)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.11110300000000001)	(62, 0.176946)	(63, 0.0233351)	(64, 0.000128351)	(65, 0.218099)	(66, 0.0958686)	(67, 0.0136658)	(68, 0.00348662)	(69, 0.000193981)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0032630199999999997)	(75, 0.0)	(76, 0.00275117)	(77, 0.0)	(78, 6.57678e-05)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.000206222)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 0.0)
SRR5413809	(1, 0.0570982)	(2, 0.00291791)	(3, 0.0)	(4, 0.0)	(5, 0.0956278)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0124674)	(22, 0.00802425)	(23, 6.63161e-05)	(24, 0.0038463300000000002)	(25, 0.00596845)	(26, 0.0016579)	(27, 0.0)	(28, 0.00185685)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.00198948)	(33, 0.000994742)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 6.63161e-05)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0008621099999999999)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.110151)	(62, 0.177595)	(63, 0.0244043)	(64, 0.0)	(65, 0.216124)	(66, 0.0954952)	(67, 0.013793799999999998)	(68, 0.0038463300000000002)	(69, 6.63161e-05)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.00298423)	(75, 0.0)	(76, 0.0027189600000000003)	(77, 0.0)	(78, 0.00013263200000000001)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.00026526400000000003)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 0.00013263200000000001)
