Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
SRR5413733	69159.0	4686.0	2.0	nan	2771.0	0.0
SRR5413734	90179.0	4734.0	1.0	nan	3094.0	0.0
SRR5413735	50965.0	4294.0	2.0	nan	0.0	0.0
SRR5413736	36193.0	3111.0	2.0	nan	0.0	0.0
SRR5413737	72171.0	3770.0	1.0	nan	2712.0	0.0
SRR5413805	1677727.0	41827.0	1423.0	nan	0.0	0.0
SRR5413806	1722989.0	40450.0	1424.0	nan	0.0	0.0
SRR5413807	1708292.0	35021.0	1437.0	nan	0.0	0.0
SRR5413808	1599802.0	35202.0	1417.0	nan	2804.0	0.0
SRR5413809	1507929.0	36874.0	1220.0	nan	0.0	0.0
