Sample	Unique Reads	Duplicate Reads
SRR5413733	19162.0	57456.0
SRR5413733_cleaned	21762.0	47397.0
SRR5413734	22814.0	75194.0
SRR5413734_cleaned	27816.0	62363.0
SRR5413735	8470.0	46791.0
SRR5413735_cleaned	7809.0	43156.0
SRR5413736	8744.0	30562.0
SRR5413736_cleaned	8594.0	27599.0
SRR5413737	24188.0	54466.0
SRR5413737_cleaned	23143.0	49028.0
SRR5413805	175563.0	1545414.0
SRR5413805_cleaned	154825.0	1522902.0
SRR5413806	174896.0	1589967.0
SRR5413806_cleaned	154387.0	1568602.0
SRR5413807	170273.0	1574477.0
SRR5413807_cleaned	151015.0	1557277.0
SRR5413808	290504.0	1348721.0
SRR5413808_cleaned	291427.0	1308375.0
SRR5413809	150220.0	1395803.0
SRR5413809_cleaned	131959.0	1375970.0
