Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
SRR5413733	(101, 76618.0)																																
SRR5413733_cleaned	(36, 917.0)	(38, 764.0)	(40, 725.0)	(42, 878.0)	(44, 1043.0)	(46, 922.0)	(48, 745.0)	(50, 686.0)	(52, 708.0)	(54, 816.0)	(56, 742.0)	(58, 740.0)	(60, 654.0)	(62, 626.0)	(64, 680.0)	(66, 733.0)	(68, 710.0)	(70, 651.0)	(72, 636.0)	(74, 625.0)	(76, 611.0)	(78, 589.0)	(80, 587.0)	(82, 527.0)	(84, 543.0)	(86, 561.0)	(88, 512.0)	(90, 558.0)	(92, 490.0)	(94, 422.0)	(96, 207.0)	(98, 0.0)	(100, 48551.0)
SRR5413734	(101, 98008.0)																																
SRR5413734_cleaned	(36, 994.0)	(38, 819.0)	(40, 862.0)	(42, 1024.0)	(44, 1236.0)	(46, 1094.0)	(48, 908.0)	(50, 833.0)	(52, 920.0)	(54, 1098.0)	(56, 1134.0)	(58, 982.0)	(60, 907.0)	(62, 900.0)	(64, 995.0)	(66, 1001.0)	(68, 983.0)	(70, 944.0)	(72, 900.0)	(74, 887.0)	(76, 955.0)	(78, 909.0)	(80, 936.0)	(82, 803.0)	(84, 823.0)	(86, 829.0)	(88, 891.0)	(90, 914.0)	(92, 791.0)	(94, 756.0)	(96, 421.0)	(98, 0.0)	(100, 61730.0)
SRR5413735	(101, 55261.0)																																
SRR5413735_cleaned	(101, 50965.0)																																
SRR5413736	(101, 39306.0)																																
SRR5413736_cleaned	(101, 36193.0)																																
SRR5413737	(101, 78654.0)																																
SRR5413737_cleaned	(36, 785.0)	(38, 820.0)	(40, 712.0)	(42, 750.0)	(44, 700.0)	(46, 649.0)	(48, 603.0)	(50, 558.0)	(52, 514.0)	(54, 568.0)	(56, 589.0)	(58, 515.0)	(60, 501.0)	(62, 543.0)	(64, 518.0)	(66, 549.0)	(68, 533.0)	(70, 536.0)	(72, 490.0)	(74, 468.0)	(76, 460.0)	(78, 429.0)	(80, 416.0)	(82, 395.0)	(84, 450.0)	(86, 363.0)	(88, 413.0)	(90, 425.0)	(92, 384.0)	(94, 345.0)	(96, 181.0)	(98, 0.0)	(100, 56009.0)
SRR5413805	(101, 1720977.0)																																
SRR5413805_cleaned	(101, 1677727.0)																																
SRR5413806	(101, 1764863.0)																																
SRR5413806_cleaned	(101, 1722989.0)																																
SRR5413807	(101, 1744750.0)																																
SRR5413807_cleaned	(101, 1708292.0)																																
SRR5413808	(101, 1639225.0)																																
SRR5413808_cleaned	(36, 1803.0)	(38, 2075.0)	(40, 1860.0)	(42, 2196.0)	(44, 2557.0)	(46, 2896.0)	(48, 2717.0)	(50, 3097.0)	(52, 2932.0)	(54, 3512.0)	(56, 3783.0)	(58, 3858.0)	(60, 4461.0)	(62, 3831.0)	(64, 4014.0)	(66, 5434.0)	(68, 5028.0)	(70, 5499.0)	(72, 5928.0)	(74, 5697.0)	(76, 6124.0)	(78, 6145.0)	(80, 6976.0)	(82, 6034.0)	(84, 7808.0)	(86, 7077.0)	(88, 7245.0)	(90, 9293.0)	(92, 7911.0)	(94, 7266.0)	(96, 3910.0)	(98, 0.0)	(100, 1450835.0)
SRR5413809	(101, 1546023.0)																																
SRR5413809_cleaned	(101, 1507929.0)																																
