Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR5413733	14.127999999999998	80.2545	4.973725	0.069159	43.3085	90.26468975958653	80.0866921378504	30.52415881385575	101.0	74.99021117753009	43.0	101.0	101	54.54545454545454	0.07661799999999999
SRR5413733_cleaned										68.53337960352232	43.0	89.26478838618256	100	45.45454545454545	0.069159
SRR5413734	25.5313	84.5257	6.832628	0.090179	46.1708	92.01187658150354	81.66122628098252	32.1902293690311	101.0	76.72230838298914	46.0	101.0	101	54.54545454545454	0.098008
SRR5413734_cleaned										69.15579015070027	46.0	89.29905521241088	100	36.36363636363637	0.090179
SRR5413735	14.0187	76.416	3.933489	0.050964999999999996	43.33	92.22598215739852	92.22598215739852		101.0	84.67273484012233	43.0	101.0	101	54.54545454545454	0.055261
SRR5413735_cleaned										84.67772000392426	43.0	101.0	101	54.54545454545454	0.050964999999999996
SRR5413736	3.04433	74.4656	2.722085	0.036192999999999996	45.0345	92.08008955375769	92.08008955375769		101.0	77.75403246323717	44.0	101.0	101	54.54545454545454	0.039306
SRR5413736_cleaned										76.25507694858122	45.0	101.0	101	54.54545454545454	0.036192999999999996
SRR5413737	2.2306	76.5616	5.100371	0.072171	44.2831	91.7575711343352	83.8587955217827	23.998779464490045	101.0	69.24886210491519	44.0	101.0	101	54.54545454545454	0.078654
SRR5413737_cleaned										67.93310332404982	44.0	91.9173005777944	100	45.45454545454545	0.072171
SRR5413805	42.7652	92.1302	156.11493299999998	1.677727	51.2153	97.48689261971542	97.48689261971542		101.0	89.7986865003382	50.0	101.0	101	18.181818181818183	1.720977
SRR5413805_cleaned										90.77174188230751	51.0	101.0	101	18.181818181818183	1.677727
SRR5413806	38.040800000000004	92.1947	160.438943	1.7229889999999999	51.2051	97.6273512448275	97.6273512448275		101.0	90.09013696967097	50.0	101.0	101	9.090909090909092	1.7648629999999998
SRR5413806_cleaned										91.03963368953242	51.0	101.0	101	9.090909090909092	1.7229889999999999
SRR5413807	40.3501	92.0333	158.791993	1.708292	51.216499999999996	97.91041696518126	97.91041696518126		101.0	90.2408759113614	51.0	101.0	101	18.181818181818183	1.74475
SRR5413807_cleaned										91.15993422176062	51.0	101.0	101	18.181818181818183	1.708292
SRR5413808	31.257	92.5647	145.737179	1.599802	50.194700000000005	97.59502203785325	95.09661789281309	9.276029831170218	101.0	82.27800826820013	49.0	101.0	101	18.181818181818183	1.639225
SRR5413808_cleaned										81.78357565148988	50.0	97.9625334885192	100	18.181818181818183	1.599802
SRR5413809	41.4163	92.3449	140.642105	1.5079289999999999	51.2695	97.53600043466365	97.53600043466365		101.0	90.28347524779775	51.0	101.0	101	9.090909090909092	1.546023
SRR5413809_cleaned										91.24903225503454	51.0	101.0	101	9.090909090909092	1.5079289999999999
