Sample,Num_reads,Mean_length,Mean_quality,Mean_GC%,Class
SRR5413733.fastq,76618,101,33.33609053,43.86116129,Healthy
SRR5413734.fastq,98008,101,34.62153473,46.23869864,Healthy
SRR5413735.fastq,55261,101,31.5178667,43.04566574,Healthy
SRR5413736.fastq,39306,101,30.82093783,44.74002659,Healthy
SRR5413737.fastq,78654,101,32.39856627,44.68408699,Healthy
SRR5413805.fastq,1720977,101,36.6843129,50.98634251,Disease
SRR5413806.fastq,1764863,101,36.72038801,50.98213525,Disease
SRR5413807.fastq,1744750,101,36.72986472,51.0255031,Disease
SRR5413808.fastq,1639225,101,36.83448581,49.9771478,Disease
SRR5413809.fastq,1546023,101,36.73767786,51.03737874,Disease
