Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR5413733	(1, 63.53189999999999)	(2, 31.0834)	(3, 26.742700000000003)	(4, 44.0709)	(5, 21.9538)	(6, 42.254799999999996)	(7, 57.9202)	(8, 36.2643)	(9, 73.30210000000001)	(10, 37.542500000000004)	(11, 49.857600000000005)	(12, 62.438700000000004)	(13, 54.01899999999999)	(14, 63.0186)	(15, 70.83239999999999)	(16, 68.0504)	(17, 40.2782)	(18, 71.86630000000001)	(19, 60.762899999999995)	(20, 66.444)	(21, 66.16640000000001)	(22, 34.9889)	(23, 67.9709)	(24, 55.86109999999999)	(25, 45.5169)	(26, 59.801300000000005)	(27, 39.0043)	(28, 58.52460000000001)	(29, 54.37610000000001)	(30, 58.7284)	(31, 37.4846)	(32, 30.2896)	(33, 58.809400000000004)	(34, 34.5725)	(35, 30.5094)	(36, 66.2936)	(37, 34.678599999999996)	(38, 41.6034)	(39, 63.200500000000005)	(40, 35.001)	(41, 62.8609)	(42, 55.4777)	(43, 43.1926)	(44, 42.362)	(45, 39.507)	(46, 72.9655)	(47, 55.657599999999995)	(48, 64.56739999999999)	(49, 58.7836)	(50, 32.101600000000005)	(51, 63.1957)	(52, 32.9183)	(53, 34.7163)	(54, 58.5372)	(55, 32.0521)	(56, 50.3421)	(57, 57.06830000000001)	(58, 22.1348)	(59, 23.22)	(60, 46.448)	(61, 20.5922)	(62, 19.5957)	(63, 19.9805)	(64, 21.043799999999997)	(65, 20.593700000000002)	(66, 21.0944)	(67, 20.6782)	(68, 21.1782)	(69, 21.6726)	(70, 23.0551)	(71, 25.0803)	(72, 24.9174)	(73, 28.0299)	(74, 27.7951)	(75, 29.7412)	(76, 32.5584)	(77, 30.7877)	(78, 33.2624)	(79, 33.6764)	(80, 32.759899999999995)	(81, 33.7669)	(82, 32.0807)	(83, 35.6706)	(84, 35.057100000000005)	(85, 35.2901)	(86, 37.3287)	(87, 36.5061)	(88, 37.1719)	(89, 39.5691)	(90, 38.9922)	(91, 40.914699999999996)	(92, 39.3437)	(93, 40.1352)	(94, 39.1135)	(95, 40.0302)	(96, 42.0628)	(97, 43.2329)	(98, 43.033100000000005)	(99, 42.7324)	(100, 42.7138)	(101, 40.6624)
SRR5413734	(1, 64.2555)	(2, 35.9651)	(3, 32.2126)	(4, 45.4385)	(5, 24.9925)	(6, 44.3274)	(7, 55.7159)	(8, 40.7246)	(9, 70.42110000000001)	(10, 39.7365)	(11, 52.0365)	(12, 59.324200000000005)	(13, 54.516)	(14, 61.165000000000006)	(15, 66.1751)	(16, 63.340700000000005)	(17, 42.790499999999994)	(18, 66.2505)	(19, 58.175399999999996)	(20, 62.7685)	(21, 61.8459)	(22, 38.9681)	(23, 64.01820000000001)	(24, 54.291999999999994)	(25, 46.951100000000004)	(26, 57.0022)	(27, 42.126200000000004)	(28, 57.09760000000001)	(29, 53.425999999999995)	(30, 57.208400000000005)	(31, 41.2169)	(32, 36.4165)	(33, 57.6465)	(34, 38.9791)	(35, 35.8786)	(36, 61.9734)	(37, 39.3252)	(38, 43.9625)	(39, 60.2741)	(40, 39.387299999999996)	(41, 59.6081)	(42, 55.035199999999996)	(43, 45.2493)	(44, 44.3212)	(45, 42.9879)	(46, 67.8183)	(47, 55.096500000000006)	(48, 61.4641)	(49, 57.5763)	(50, 36.9861)	(51, 60.1277)	(52, 37.8733)	(53, 39.0727)	(54, 56.536500000000004)	(55, 37.1905)	(56, 50.7843)	(57, 56.3969)	(58, 29.9709)	(59, 30.165)	(60, 48.1904)	(61, 28.5477)	(62, 28.1563)	(63, 28.2838)	(64, 28.311199999999996)	(65, 28.436899999999998)	(66, 28.3916)	(67, 28.8892)	(68, 29.0888)	(69, 29.1488)	(70, 30.3678)	(71, 32.2806)	(72, 32.3027)	(73, 35.346)	(74, 34.4993)	(75, 35.8637)	(76, 38.2119)	(77, 37.1543)	(78, 40.014)	(79, 40.466800000000006)	(80, 39.4142)	(81, 39.894800000000004)	(82, 38.7754)	(83, 42.7772)	(84, 40.954499999999996)	(85, 40.6549)	(86, 43.834)	(87, 42.3529)	(88, 44.543)	(89, 45.8023)	(90, 45.5798)	(91, 47.5537)	(92, 46.8366)	(93, 46.727000000000004)	(94, 46.1507)	(95, 46.8615)	(96, 48.824600000000004)	(97, 50.4795)	(98, 51.1032)	(99, 50.3305)	(100, 50.1004)	(101, 52.0006)
SRR5413735	(1, 61.5462)	(2, 26.3887)	(3, 19.8156)	(4, 41.3048)	(5, 18.289)	(6, 39.8646)	(7, 58.86789999999999)	(8, 32.4988)	(9, 76.58789999999999)	(10, 35.330099999999995)	(11, 49.600699999999996)	(12, 65.7)	(13, 53.9429)	(14, 67.30699999999999)	(15, 76.24640000000001)	(16, 75.0162)	(17, 39.3623)	(18, 81.3068)	(19, 65.0976)	(20, 73.0658)	(21, 72.1888)	(22, 32.1044)	(23, 75.2713)	(24, 56.7723)	(25, 45.3782)	(26, 63.3003)	(27, 35.7304)	(28, 62.5625)	(29, 54.7179)	(30, 62.2584)	(31, 35.0083)	(32, 25.7353)	(33, 61.1773)	(34, 29.4516)	(35, 25.6549)	(36, 70.85249999999999)	(37, 30.3934)	(38, 40.8967)	(39, 66.269)	(40, 30.7564)	(41, 67.3482)	(42, 56.0149)	(43, 42.8353)	(44, 40.8123)	(45, 37.045)	(46, 77.3864)	(47, 56.315099999999994)	(48, 68.1095)	(49, 61.0085)	(50, 29.0062)	(51, 65.8315)	(52, 28.0055)	(53, 32.163199999999996)	(54, 58.5402)	(55, 28.7276)	(56, 49.836200000000005)	(57, 57.0411)	(58, 18.685399999999998)	(59, 20.602400000000003)	(60, 44.0695)	(61, 16.8076)	(62, 16.6055)	(63, 16.215)	(64, 17.1117)	(65, 16.7468)	(66, 17.661099999999998)	(67, 17.6984)	(68, 18.8934)	(69, 19.4604)	(70, 21.1204)	(71, 23.936)	(72, 24.1401)	(73, 27.5032)	(74, 28.205599999999997)	(75, 29.747899999999998)	(76, 32.455600000000004)	(77, 31.152800000000003)	(78, 34.8769)	(79, 34.9809)	(80, 34.547200000000004)	(81, 35.856)	(82, 34.92)	(83, 38.4146)	(84, 37.994699999999995)	(85, 38.088899999999995)	(86, 40.780899999999995)	(87, 40.523900000000005)	(88, 42.425200000000004)	(89, 44.2048)	(90, 44.2794)	(91, 46.2592)	(92, 45.1251)	(93, 46.165)	(94, 45.4606)	(95, 46.545700000000004)	(96, 48.3861)	(97, 49.410399999999996)	(98, 49.687)	(99, 49.3613)	(100, 48.9924)	(101, 50.5837)
SRR5413736	(1, 59.38719999999999)	(2, 27.828599999999998)	(3, 20.177899999999998)	(4, 47.7247)	(5, 21.0289)	(6, 45.8625)	(7, 60.6554)	(8, 34.2083)	(9, 79.28880000000001)	(10, 37.805699999999995)	(11, 54.444199999999995)	(12, 68.8476)	(13, 60.1415)	(14, 69.0354)	(15, 81.14829999999999)	(16, 79.9353)	(17, 43.047000000000004)	(18, 86.5748)	(19, 68.1845)	(20, 76.291)	(21, 74.6387)	(22, 32.9401)	(23, 79.26950000000001)	(24, 57.801199999999994)	(25, 50.388200000000005)	(26, 65.7448)	(27, 40.7703)	(28, 64.62299999999999)	(29, 56.0246)	(30, 64.203)	(31, 37.6786)	(32, 26.601799999999997)	(33, 64.0815)	(34, 31.4177)	(35, 26.0492)	(36, 75.1665)	(37, 33.1943)	(38, 46.2299)	(39, 70.1323)	(40, 32.0642)	(41, 68.3502)	(42, 56.0329)	(43, 46.948299999999996)	(44, 45.8514)	(45, 41.2594)	(46, 83.0879)	(47, 57.0635)	(48, 70.5468)	(49, 60.5255)	(50, 28.494500000000002)	(51, 68.09049999999999)	(52, 29.138199999999998)	(53, 35.045500000000004)	(54, 61.136100000000006)	(55, 30.2766)	(56, 48.6558)	(57, 58.627399999999994)	(58, 17.4067)	(59, 19.8906)	(60, 42.292699999999996)	(61, 16.2739)	(62, 15.8318)	(63, 16.1551)	(64, 16.5529)	(65, 15.958900000000002)	(66, 17.473)	(67, 16.7933)	(68, 18.7301)	(69, 19.7635)	(70, 21.3025)	(71, 25.4193)	(72, 24.4882)	(73, 30.348399999999998)	(74, 29.7848)	(75, 30.2462)	(76, 34.368500000000004)	(77, 31.4177)	(78, 37.7007)	(79, 37.8471)	(80, 38.1041)	(81, 36.974000000000004)	(82, 34.794000000000004)	(83, 41.049400000000006)	(84, 38.032199999999996)	(85, 37.242)	(86, 42.5939)	(87, 39.0545)	(88, 42.1104)	(89, 45.6442)	(90, 44.0251)	(91, 47.5672)	(92, 47.307500000000005)	(93, 45.5723)	(94, 45.1745)	(95, 45.8321)	(96, 49.7721)	(97, 50.6065)	(98, 50.750099999999996)	(99, 51.0016)	(100, 48.4707)	(101, 50.9933)
SRR5413737	(1, 62.328399999999995)	(2, 28.040300000000002)	(3, 21.747)	(4, 44.7243)	(5, 20.6856)	(6, 42.5226)	(7, 61.032799999999995)	(8, 33.0548)	(9, 77.02120000000001)	(10, 35.370200000000004)	(11, 50.793299999999995)	(12, 67.5853)	(13, 55.30199999999999)	(14, 66.9438)	(15, 78.13799999999999)	(16, 76.1067)	(17, 40.7241)	(18, 79.31859999999999)	(19, 61.6993)	(20, 69.4337)	(21, 70.3524)	(22, 31.554199999999998)	(23, 74.55760000000001)	(24, 57.7268)	(25, 43.1101)	(26, 54.4651)	(27, 36.7045)	(28, 57.936)	(29, 43.3387)	(30, 40.7879)	(31, 44.4029)	(32, 68.7852)	(33, 58.977999999999994)	(34, 63.7112)	(35, 52.611200000000004)	(36, 44.8587)	(37, 31.776799999999998)	(38, 42.8866)	(39, 68.69239999999999)	(40, 32.442)	(41, 67.59570000000001)	(42, 58.2128)	(43, 44.8335)	(44, 42.8108)	(45, 39.038000000000004)	(46, 80.2906)	(47, 58.982299999999995)	(48, 70.966)	(49, 62.8765)	(50, 28.694599999999998)	(51, 68.8989)	(52, 29.5477)	(53, 34.4499)	(54, 63.038700000000006)	(55, 30.357400000000002)	(56, 51.6196)	(57, 60.936)	(58, 17.6717)	(59, 19.3678)	(60, 46.1589)	(61, 16.1954)	(62, 15.0516)	(63, 15.3684)	(64, 15.6603)	(65, 15.332200000000002)	(66, 16.206300000000002)	(67, 16.0444)	(68, 17.0747)	(69, 17.5455)	(70, 18.6808)	(71, 22.5408)	(72, 22.0569)	(73, 27.341700000000003)	(74, 27.366699999999998)	(75, 27.3615)	(76, 30.740000000000002)	(77, 29.1495)	(78, 34.006)	(79, 32.7909)	(80, 30.1645)	(81, 32.628099999999996)	(82, 36.118)	(83, 37.397200000000005)	(84, 39.4912)	(85, 39.5595)	(86, 36.4074)	(87, 36.567899999999995)	(88, 39.545)	(89, 43.4895)	(90, 41.7306)	(91, 45.1462)	(92, 44.1786)	(93, 43.452400000000004)	(94, 41.666199999999996)	(95, 43.906)	(96, 47.1347)	(97, 48.706500000000005)	(98, 49.1046)	(99, 49.0546)	(100, 47.4227)	(101, 49.8438)
SRR5413805	(1, 63.321000000000005)	(2, 48.2513)	(3, 47.8497)	(4, 43.5011)	(5, 32.4891)	(6, 44.461600000000004)	(7, 51.077600000000004)	(8, 52.706399999999995)	(9, 60.82340000000001)	(10, 52.007099999999994)	(11, 56.7867)	(12, 53.1242)	(13, 57.937099999999994)	(14, 55.5929)	(15, 51.8962)	(16, 46.0837)	(17, 50.8827)	(18, 50.648)	(19, 49.8947)	(20, 53.0962)	(21, 55.672200000000004)	(22, 52.8703)	(23, 52.109300000000005)	(24, 52.3991)	(25, 53.0358)	(26, 51.2471)	(27, 47.191100000000006)	(28, 46.4713)	(29, 47.7493)	(30, 50.665000000000006)	(31, 51.223600000000005)	(32, 49.3906)	(33, 50.1806)	(34, 53.2706)	(35, 49.7979)	(36, 50.9235)	(37, 47.200900000000004)	(38, 48.6361)	(39, 52.3954)	(40, 53.4294)	(41, 50.265)	(42, 49.2108)	(43, 47.942299999999996)	(44, 51.65260000000001)	(45, 51.5735)	(46, 53.7552)	(47, 47.9623)	(48, 49.6457)	(49, 52.37929999999999)	(50, 49.708200000000005)	(51, 52.199200000000005)	(52, 53.9501)	(53, 47.8364)	(54, 52.6835)	(55, 50.569399999999995)	(56, 50.690900000000006)	(57, 52.147299999999994)	(58, 49.3502)	(59, 54.84329999999999)	(60, 52.8455)	(61, 49.1111)	(62, 49.3251)	(63, 51.163000000000004)	(64, 53.77380000000001)	(65, 50.9313)	(66, 52.99660000000001)	(67, 49.4964)	(68, 50.6649)	(69, 47.6873)	(70, 49.4884)	(71, 49.9554)	(72, 50.698600000000006)	(73, 50.9779)	(74, 55.269800000000004)	(75, 53.3431)	(76, 57.0539)	(77, 58.235899999999994)	(78, 55.56179999999999)	(79, 52.2983)	(80, 49.925799999999995)	(81, 49.7688)	(82, 48.810700000000004)	(83, 49.6118)	(84, 52.06420000000001)	(85, 52.7026)	(86, 51.4985)	(87, 52.168899999999994)	(88, 53.849999999999994)	(89, 52.7797)	(90, 55.8528)	(91, 52.5764)	(92, 50.49360000000001)	(93, 51.9683)	(94, 51.9786)	(95, 52.290499999999994)	(96, 50.3395)	(97, 51.13720000000001)	(98, 49.089)	(99, 46.9864)	(100, 50.6116)	(101, 48.708200000000005)
SRR5413806	(1, 63.157300000000006)	(2, 48.1229)	(3, 47.6432)	(4, 42.9114)	(5, 32.3445)	(6, 44.1697)	(7, 51.131800000000005)	(8, 52.892300000000006)	(9, 60.648500000000006)	(10, 51.5538)	(11, 56.572900000000004)	(12, 52.641400000000004)	(13, 57.8129)	(14, 55.4627)	(15, 51.7668)	(16, 46.1898)	(17, 50.6993)	(18, 50.6347)	(19, 49.7934)	(20, 52.859500000000004)	(21, 55.5438)	(22, 52.811099999999996)	(23, 52.0053)	(24, 52.32019999999999)	(25, 52.9847)	(26, 51.30630000000001)	(27, 47.4828)	(28, 46.697300000000006)	(29, 47.944900000000004)	(30, 50.839800000000004)	(31, 51.5357)	(32, 49.3048)	(33, 50.2988)	(34, 53.164)	(35, 50.0054)	(36, 51.004599999999996)	(37, 47.260999999999996)	(38, 48.9199)	(39, 52.507000000000005)	(40, 53.27420000000001)	(41, 50.2912)	(42, 49.3877)	(43, 48.1095)	(44, 51.6793)	(45, 51.8833)	(46, 53.6169)	(47, 48.009800000000006)	(48, 49.6473)	(49, 52.5947)	(50, 50.1039)	(51, 52.4864)	(52, 54.2299)	(53, 47.9138)	(54, 52.961999999999996)	(55, 50.33800000000001)	(56, 50.7113)	(57, 52.012499999999996)	(58, 49.4792)	(59, 54.9067)	(60, 52.961000000000006)	(61, 49.1463)	(62, 49.2874)	(63, 51.322100000000006)	(64, 53.688199999999995)	(65, 50.626000000000005)	(66, 53.0428)	(67, 49.5993)	(68, 50.6585)	(69, 47.8224)	(70, 49.3329)	(71, 49.890699999999995)	(72, 50.97279999999999)	(73, 50.9575)	(74, 55.223)	(75, 53.197300000000006)	(76, 56.8494)	(77, 57.8431)	(78, 55.343399999999995)	(79, 52.551899999999996)	(80, 49.8983)	(81, 49.7855)	(82, 48.6128)	(83, 49.359199999999994)	(84, 51.9495)	(85, 52.5371)	(86, 51.5275)	(87, 52.2277)	(88, 53.820100000000004)	(89, 52.5139)	(90, 55.6991)	(91, 52.7874)	(92, 50.5701)	(93, 52.022999999999996)	(94, 52.1508)	(95, 52.2873)	(96, 50.4003)	(97, 51.2916)	(98, 49.2487)	(99, 47.0847)	(100, 50.41369999999999)	(101, 48.6286)
SRR5413807	(1, 64.0214)	(2, 48.5218)	(3, 47.6695)	(4, 42.729800000000004)	(5, 31.5122)	(6, 43.5328)	(7, 51.3632)	(8, 52.7864)	(9, 61.024699999999996)	(10, 51.427299999999995)	(11, 56.6391)	(12, 52.4447)	(13, 58.3273)	(14, 55.5589)	(15, 51.92529999999999)	(16, 45.9833)	(17, 50.5001)	(18, 50.7781)	(19, 49.911100000000005)	(20, 53.0415)	(21, 55.698)	(22, 53.006299999999996)	(23, 51.8123)	(24, 51.9783)	(25, 52.985400000000006)	(26, 51.7556)	(27, 47.6184)	(28, 46.6013)	(29, 47.981)	(30, 50.6115)	(31, 51.4678)	(32, 49.4516)	(33, 50.5772)	(34, 53.4412)	(35, 50.089600000000004)	(36, 51.173199999999994)	(37, 47.2016)	(38, 48.9018)	(39, 52.8003)	(40, 53.4844)	(41, 50.3338)	(42, 49.6237)	(43, 48.328199999999995)	(44, 51.795899999999996)	(45, 52.056599999999996)	(46, 53.955299999999994)	(47, 47.7292)	(48, 49.5385)	(49, 52.3862)	(50, 49.664199999999994)	(51, 52.607499999999995)	(52, 54.533699999999996)	(53, 47.6458)	(54, 52.898199999999996)	(55, 50.3381)	(56, 50.4612)	(57, 52.0985)	(58, 49.3933)	(59, 55.1701)	(60, 53.241400000000006)	(61, 49.1112)	(62, 49.3178)	(63, 51.304)	(64, 53.794399999999996)	(65, 50.6058)	(66, 53.399300000000004)	(67, 49.4811)	(68, 50.613200000000006)	(69, 47.4841)	(70, 49.3253)	(71, 50.00940000000001)	(72, 50.9333)	(73, 50.6624)	(74, 55.164)	(75, 52.928799999999995)	(76, 57.1444)	(77, 57.8831)	(78, 55.528999999999996)	(79, 52.7814)	(80, 49.8825)	(81, 49.7025)	(82, 48.4416)	(83, 49.1906)	(84, 51.819199999999995)	(85, 52.3925)	(86, 51.2019)	(87, 51.83560000000001)	(88, 53.478899999999996)	(89, 52.3512)	(90, 55.8499)	(91, 52.898)	(92, 50.3237)	(93, 52.0506)	(94, 52.36769999999999)	(95, 52.1671)	(96, 50.7195)	(97, 51.3015)	(98, 49.1139)	(99, 47.0938)	(100, 50.3647)	(101, 48.7164)
SRR5413808	(1, 64.0556)	(2, 46.9914)	(3, 47.1506)	(4, 43.394800000000004)	(5, 31.538)	(6, 44.1503)	(7, 50.4537)	(8, 51.9714)	(9, 61.0859)	(10, 49.9529)	(11, 55.9257)	(12, 51.4849)	(13, 56.9128)	(14, 54.6708)	(15, 50.9278)	(16, 45.6088)	(17, 49.5275)	(18, 49.5311)	(19, 48.6303)	(20, 51.5131)	(21, 53.9013)	(22, 51.469500000000004)	(23, 50.6228)	(24, 50.856199999999994)	(25, 51.4386)	(26, 50.092000000000006)	(27, 46.9105)	(28, 46.0233)	(29, 47.044799999999995)	(30, 49.4801)	(31, 50.1565)	(32, 48.409600000000005)	(33, 49.305)	(34, 51.684799999999996)	(35, 48.871700000000004)	(36, 49.7761)	(37, 46.6748)	(38, 47.909600000000005)	(39, 51.2053)	(40, 51.9343)	(41, 49.2028)	(42, 48.641)	(43, 47.525)	(44, 50.4933)	(45, 50.617599999999996)	(46, 52.282700000000006)	(47, 47.2558)	(48, 48.747099999999996)	(49, 51.2292)	(50, 49.082)	(51, 51.364)	(52, 52.8046)	(53, 47.152300000000004)	(54, 51.534400000000005)	(55, 49.439899999999994)	(56, 49.687)	(57, 51.0332)	(58, 48.6276)	(59, 53.388400000000004)	(60, 51.6548)	(61, 48.3476)	(62, 48.3803)	(63, 50.2355)	(64, 52.4198)	(65, 49.682700000000004)	(66, 51.87389999999999)	(67, 48.7104)	(68, 49.751200000000004)	(69, 47.044200000000004)	(70, 48.5063)	(71, 48.9617)	(72, 49.8075)	(73, 49.667699999999996)	(74, 53.6146)	(75, 51.842299999999994)	(76, 55.384100000000004)	(77, 56.1385)	(78, 54.1088)	(79, 51.3314)	(80, 48.9431)	(81, 48.8384)	(82, 47.7902)	(83, 48.564)	(84, 50.874900000000004)	(85, 51.3666)	(86, 50.5227)	(87, 51.0269)	(88, 52.65729999999999)	(89, 51.4069)	(90, 54.474999999999994)	(91, 51.6216)	(92, 49.5517)	(93, 50.9285)	(94, 51.1134)	(95, 51.305)	(96, 49.524499999999996)	(97, 50.281699999999994)	(98, 48.4863)	(99, 46.295500000000004)	(100, 49.9533)	(101, 47.9556)
SRR5413809	(1, 62.8597)	(2, 48.0468)	(3, 47.323100000000004)	(4, 42.7537)	(5, 32.378800000000005)	(6, 43.9446)	(7, 50.871599999999994)	(8, 52.888000000000005)	(9, 60.582800000000006)	(10, 51.7475)	(11, 56.5511)	(12, 52.8463)	(13, 57.8468)	(14, 55.4427)	(15, 52.125699999999995)	(16, 46.3859)	(17, 50.8277)	(18, 50.556599999999996)	(19, 49.8018)	(20, 53.013600000000004)	(21, 55.6798)	(22, 52.9981)	(23, 52.208200000000005)	(24, 52.422999999999995)	(25, 52.9987)	(26, 51.438399999999994)	(27, 47.5697)	(28, 46.7217)	(29, 48.1173)	(30, 50.917199999999994)	(31, 51.5919)	(32, 49.4648)	(33, 50.3904)	(34, 53.3211)	(35, 50.0086)	(36, 50.909800000000004)	(37, 47.3603)	(38, 48.9026)	(39, 52.5679)	(40, 53.3667)	(41, 50.283500000000004)	(42, 49.4172)	(43, 48.0956)	(44, 51.725500000000004)	(45, 51.9019)	(46, 53.61900000000001)	(47, 48.2085)	(48, 49.6618)	(49, 52.771100000000004)	(50, 50.063100000000006)	(51, 52.5334)	(52, 54.458600000000004)	(53, 48.018)	(54, 53.194300000000005)	(55, 50.455799999999996)	(56, 50.706399999999995)	(57, 52.2245)	(58, 49.587199999999996)	(59, 55.1005)	(60, 52.98929999999999)	(61, 49.1312)	(62, 49.249900000000004)	(63, 51.3274)	(64, 53.70120000000001)	(65, 50.8162)	(66, 53.2536)	(67, 49.7234)	(68, 50.5879)	(69, 47.807500000000005)	(70, 49.4801)	(71, 50.0465)	(72, 51.1479)	(73, 51.166)	(74, 55.2655)	(75, 53.3483)	(76, 56.8883)	(77, 57.9411)	(78, 55.3368)	(79, 52.5219)	(80, 49.863600000000005)	(81, 49.784800000000004)	(82, 48.6506)	(83, 49.5163)	(84, 52.0208)	(85, 52.7088)	(86, 51.6292)	(87, 52.312099999999994)	(88, 53.8586)	(89, 52.5992)	(90, 55.7852)	(91, 52.693999999999996)	(92, 50.726099999999995)	(93, 52.0022)	(94, 52.2764)	(95, 52.5116)	(96, 50.435300000000005)	(97, 51.3675)	(98, 49.3284)	(99, 47.0441)	(100, 50.6336)	(101, 48.9597)
