Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR5413733	(1, 62.4866)	(2, 33.0249)	(3, 28.475)	(4, 46.2594)	(5, 25.4849)	(6, 43.1974)	(7, 55.561400000000006)	(8, 39.3628)	(9, 74.198)	(10, 40.1263)	(11, 51.404399999999995)	(12, 59.83579999999999)	(13, 55.186800000000005)	(14, 62.8338)	(15, 67.1096)	(16, 67.1892)	(17, 40.5362)	(18, 72.06660000000001)	(19, 60.54580000000001)	(20, 65.482)	(21, 62.548)	(22, 35.4904)	(23, 66.8055)	(24, 52.0648)	(25, 44.8837)	(26, 59.409)	(27, 36.8634)	(28, 56.477599999999995)	(29, 53.56570000000001)	(30, 56.877)	(31, 40.626200000000004)	(32, 32.799099999999996)	(33, 54.6412)	(34, 32.987)	(35, 31.8098)	(36, 65.89439999999999)	(37, 37.5839)	(38, 44.3603)	(39, 61.56779999999999)	(40, 34.4906)	(41, 61.630399999999995)	(42, 51.129000000000005)	(43, 42.5775)	(44, 43.613800000000005)	(45, 38.598)	(46, 69.5972)	(47, 53.717099999999995)	(48, 59.060500000000005)	(49, 55.8681)	(50, 35.058299999999996)	(51, 57.8376)	(52, 32.0212)	(53, 34.347)	(54, 52.956199999999995)	(55, 31.749699999999997)	(56, 47.7094)	(57, 52.364999999999995)	(58, 25.9273)	(59, 27.2717)	(60, 44.5156)	(61, 24.8179)	(62, 25.176900000000003)	(63, 24.9537)	(64, 26.044800000000002)	(65, 25.9835)	(66, 26.878800000000002)	(67, 26.6165)	(68, 27.729799999999997)	(69, 28.387600000000003)	(70, 29.5153)	(71, 30.991400000000002)	(72, 30.601200000000002)	(73, 33.5535)	(74, 32.7273)	(75, 34.246500000000005)	(76, 36.7525)	(77, 35.1001)	(78, 37.3855)	(79, 38.2299)	(80, 37.2941)	(81, 38.5105)	(82, 37.1949)	(83, 39.1475)	(84, 38.97)	(85, 39.246700000000004)	(86, 41.2449)	(87, 40.5949)	(88, 41.626000000000005)	(89, 43.1034)	(90, 42.7236)	(91, 44.5026)	(92, 42.8163)	(93, 43.3488)	(94, 43.0617)	(95, 43.0291)	(96, 44.915)	(97, 45.6916)	(98, 45.1682)	(99, 45.0482)	(100, 44.745400000000004)	(101, 42.638799999999996)
SRR5413734	(1, 63.5989)	(2, 36.9388)	(3, 33.122800000000005)	(4, 46.639)	(5, 27.1406)	(6, 44.7994)	(7, 53.8466)	(8, 42.5629)	(9, 71.0626)	(10, 41.340500000000006)	(11, 53.058899999999994)	(12, 57.4014)	(13, 55.053700000000006)	(14, 60.80219999999999)	(15, 63.35809999999999)	(16, 62.593900000000005)	(17, 42.67)	(18, 66.1334)	(19, 57.6075)	(20, 61.867399999999996)	(21, 59.18600000000001)	(22, 38.8897)	(23, 62.9683)	(24, 51.3907)	(25, 46.1432)	(26, 56.4393)	(27, 40.1345)	(28, 55.3445)	(29, 52.3794)	(30, 55.5404)	(31, 42.7853)	(32, 37.5612)	(33, 54.4996)	(34, 37.3551)	(35, 36.2542)	(36, 61.332699999999996)	(37, 40.5538)	(38, 45.4167)	(39, 58.6473)	(40, 38.4673)	(41, 58.420700000000004)	(42, 51.58970000000001)	(43, 44.309599999999996)	(44, 44.6208)	(45, 41.6721)	(46, 65.0753)	(47, 53.2559)	(48, 57.681000000000004)	(49, 55.1771)	(50, 38.6183)	(51, 56.2852)	(52, 36.748)	(53, 38.4326)	(54, 52.4906)	(55, 36.625600000000006)	(56, 48.6909)	(57, 52.92829999999999)	(58, 32.2351)	(59, 32.8841)	(60, 46.6707)	(61, 31.2342)	(62, 31.782100000000003)	(63, 31.310700000000004)	(64, 31.671899999999997)	(65, 31.817800000000002)	(66, 32.3923)	(67, 32.6116)	(68, 33.385)	(69, 33.7962)	(70, 34.7584)	(71, 36.100100000000005)	(72, 36.1736)	(73, 38.5122)	(74, 37.9092)	(75, 38.8611)	(76, 41.0201)	(77, 39.9549)	(78, 42.7424)	(79, 42.8996)	(80, 42.558800000000005)	(81, 43.1853)	(82, 42.262899999999995)	(83, 44.7025)	(84, 43.3709)	(85, 43.203599999999994)	(86, 45.8983)	(87, 45.0922)	(88, 46.699200000000005)	(89, 47.7441)	(90, 47.392)	(91, 49.0042)	(92, 47.9798)	(93, 48.214400000000005)	(94, 47.6053)	(95, 48.0226)	(96, 49.3368)	(97, 50.4918)	(98, 50.3612)	(99, 50.346900000000005)	(100, 49.5255)	(101, 50.8775)
SRR5413735	(1, 59.742)	(2, 29.2593)	(3, 20.8827)	(4, 44.8237)	(5, 23.0904)	(6, 41.8595)	(7, 56.7905)	(8, 36.8723)	(9, 77.7185)	(10, 39.1795)	(11, 50.860499999999995)	(12, 63.2109)	(13, 56.101)	(14, 66.7415)	(15, 72.4435)	(16, 73.7735)	(17, 38.7362)	(18, 81.325)	(19, 65.862)	(20, 71.48259999999999)	(21, 66.9948)	(22, 31.439899999999998)	(23, 73.4605)	(24, 52.7533)	(25, 43.6836)	(26, 62.422)	(27, 33.332699999999996)	(28, 59.566399999999994)	(29, 54.8343)	(30, 59.602599999999995)	(31, 38.102799999999995)	(32, 27.757399999999997)	(33, 56.555299999999995)	(34, 27.6488)	(35, 25.904300000000003)	(36, 71.5966)	(37, 34.2882)	(38, 43.6927)	(39, 65.6412)	(40, 30.370399999999997)	(41, 66.3524)	(42, 52.3027)	(43, 41.637)	(44, 42.3391)	(45, 36.722100000000005)	(46, 77.6334)	(47, 56.4829)	(48, 63.761100000000006)	(49, 58.623599999999996)	(50, 31.2879)	(51, 61.2819)	(52, 26.3495)	(53, 30.1297)	(54, 54.4833)	(55, 27.006400000000003)	(56, 46.5066)	(57, 53.1822)	(58, 17.8082)	(59, 19.619600000000002)	(60, 41.309400000000004)	(61, 16.351499999999998)	(62, 16.1886)	(63, 16.1524)	(64, 17.046400000000002)	(65, 16.778599999999997)	(66, 17.8933)	(67, 18.0109)	(68, 19.619600000000002)	(69, 20.287399999999998)	(70, 21.796599999999998)	(71, 24.2685)	(72, 24.465700000000002)	(73, 28.1392)	(74, 28.4541)	(75, 29.9904)	(76, 32.8876)	(77, 31.3874)	(78, 35.200199999999995)	(79, 35.4898)	(80, 35.1061)	(81, 36.704)	(82, 35.6363)	(83, 38.4901)	(84, 37.9852)	(85, 38.4086)	(86, 41.3746)	(87, 41.1592)	(88, 42.9815)	(89, 44.4473)	(90, 44.443599999999996)	(91, 46.4306)	(92, 45.001000000000005)	(93, 46.191700000000004)	(94, 45.676)	(95, 46.5717)	(96, 48.5677)	(97, 49.4037)	(98, 49.4218)	(99, 49.1233)	(100, 48.8681)	(101, 49.99)
SRR5413736	(1, 57.2076)	(2, 31.094500000000004)	(3, 21.1952)	(4, 51.582499999999996)	(5, 26.593899999999998)	(6, 47.735699999999994)	(7, 58.4923)	(8, 39.123799999999996)	(9, 80.7536)	(10, 42.1844)	(11, 55.6582)	(12, 66.0561)	(13, 62.7182)	(14, 68.94369999999999)	(15, 77.0646)	(16, 79.0007)	(17, 42.2175)	(18, 87.3073)	(19, 69.9817)	(20, 75.276)	(21, 69.1472)	(22, 32.5625)	(23, 78.01350000000001)	(24, 53.6178)	(25, 48.626200000000004)	(26, 65.5345)	(27, 37.8873)	(28, 61.753899999999994)	(29, 56.8743)	(30, 61.66740000000001)	(31, 41.8715)	(32, 29.4637)	(33, 59.0877)	(34, 29.3136)	(35, 26.525199999999998)	(36, 76.7389)	(37, 38.055299999999995)	(38, 49.750699999999995)	(39, 69.93589999999999)	(40, 31.7916)	(41, 68.0049)	(42, 52.03529999999999)	(43, 45.5452)	(44, 47.6034)	(45, 40.6147)	(46, 83.8218)	(47, 57.645100000000006)	(48, 65.4786)	(49, 58.098000000000006)	(50, 31.313299999999998)	(51, 62.891200000000005)	(52, 27.0137)	(53, 32.3996)	(54, 56.454499999999996)	(55, 28.0034)	(56, 44.9626)	(57, 54.1342)	(58, 16.142599999999998)	(59, 18.473)	(60, 39.162)	(61, 15.3641)	(62, 15.1453)	(63, 15.684600000000001)	(64, 16.226499999999998)	(65, 15.7304)	(66, 17.3994)	(67, 16.8575)	(68, 19.1879)	(69, 20.4345)	(70, 21.8287)	(71, 25.281100000000002)	(72, 24.4975)	(73, 30.555100000000003)	(74, 29.6469)	(75, 30.1506)	(76, 34.3484)	(77, 31.269999999999996)	(78, 37.3683)	(79, 37.912800000000004)	(80, 37.9408)	(81, 37.4803)	(82, 35.4119)	(83, 40.6706)	(84, 37.803399999999996)	(85, 37.521)	(86, 43.059599999999996)	(87, 39.681)	(88, 42.830600000000004)	(89, 45.8607)	(90, 44.179)	(91, 47.6899)	(92, 47.1328)	(93, 45.7004)	(94, 45.5783)	(95, 46.0261)	(96, 49.9746)	(97, 50.6691)	(98, 50.424899999999994)	(99, 50.9922)	(100, 48.6287)	(101, 50.3943)
SRR5413737	(1, 61.539100000000005)	(2, 29.8612)	(3, 23.8373)	(4, 46.7872)	(5, 24.3217)	(6, 43.2654)	(7, 58.6455)	(8, 36.018499999999996)	(9, 77.95410000000001)	(10, 38.0629)	(11, 52.2987)	(12, 64.6909)	(13, 56.54)	(14, 67.0138)	(15, 74.4056)	(16, 75.3325)	(17, 41.288399999999996)	(18, 78.2808)	(19, 57.826699999999995)	(20, 66.2293)	(21, 68.55980000000001)	(22, 35.9371)	(23, 75.3973)	(24, 58.5908)	(25, 45.016099999999994)	(26, 52.4296)	(27, 34.9467)	(28, 56.9863)	(29, 43.8681)	(30, 41.3406)	(31, 46.3384)	(32, 67.2426)	(33, 55.3322)	(34, 61.0344)	(35, 52.321600000000004)	(36, 48.104400000000005)	(37, 36.166)	(38, 44.9666)	(39, 66.7938)	(40, 32.492900000000006)	(41, 66.6311)	(42, 53.9871)	(43, 44.635999999999996)	(44, 44.488499999999995)	(45, 38.1824)	(46, 77.045)	(47, 56.74979999999999)	(48, 65.5478)	(49, 59.88)	(50, 32.278099999999995)	(51, 63.6408)	(52, 29.089399999999998)	(53, 34.4534)	(54, 57.45289999999999)	(55, 30.165)	(56, 49.4533)	(57, 56.0836)	(58, 21.7916)	(59, 23.3351)	(60, 44.3614)	(61, 19.950699999999998)	(62, 20.6499)	(63, 20.0638)	(64, 20.474500000000003)	(65, 20.1986)	(66, 21.1229)	(67, 21.222099999999998)	(68, 22.454)	(69, 22.6981)	(70, 23.759800000000002)	(71, 26.9598)	(72, 26.956000000000003)	(73, 31.28)	(74, 31.5432)	(75, 31.731399999999997)	(76, 33.936)	(77, 32.8438)	(78, 36.9174)	(79, 36.0007)	(80, 34.0987)	(81, 36.2855)	(82, 38.9097)	(83, 39.6877)	(84, 41.598600000000005)	(85, 41.754999999999995)	(86, 39.9878)	(87, 40.1149)	(88, 42.3831)	(89, 45.2374)	(90, 44.0156)	(91, 46.9563)	(92, 45.698899999999995)	(93, 45.545)	(94, 44.2508)	(95, 45.8019)	(96, 48.2162)	(97, 49.337599999999995)	(98, 49.1227)	(99, 49.1545)	(100, 47.8666)	(101, 48.988)
SRR5413805	(1, 63.383)	(2, 47.9612)	(3, 47.441100000000006)	(4, 43.4802)	(5, 32.499)	(6, 44.43)	(7, 50.471)	(8, 52.9252)	(9, 60.8876)	(10, 51.9708)	(11, 56.582600000000006)	(12, 52.7837)	(13, 57.4894)	(14, 55.07769999999999)	(15, 51.31250000000001)	(16, 45.4592)	(17, 50.4896)	(18, 49.9487)	(19, 48.9008)	(20, 52.0794)	(21, 54.533699999999996)	(22, 51.7806)	(23, 51.0402)	(24, 51.31400000000001)	(25, 51.936800000000005)	(26, 50.1954)	(27, 46.226099999999995)	(28, 45.5111)	(29, 46.7642)	(30, 49.627900000000004)	(31, 50.1826)	(32, 48.3931)	(33, 49.1756)	(34, 52.217999999999996)	(35, 48.830400000000004)	(36, 49.9685)	(37, 46.3431)	(38, 47.7725)	(39, 51.5006)	(40, 52.548300000000005)	(41, 49.4767)	(42, 48.484100000000005)	(43, 47.2804)	(44, 50.9791)	(45, 50.9691)	(46, 53.1937)	(47, 47.6346)	(48, 49.4095)	(49, 52.21639999999999)	(50, 49.6745)	(51, 52.1515)	(52, 53.9118)	(53, 47.9181)	(54, 52.690400000000004)	(55, 50.601600000000005)	(56, 50.709700000000005)	(57, 52.1264)	(58, 49.4473)	(59, 54.920899999999996)	(60, 53.061400000000006)	(61, 49.4684)	(62, 49.7661)	(63, 51.6442)	(64, 54.2455)	(65, 51.4401)	(66, 53.4703)	(67, 50.04729999999999)	(68, 51.1784)	(69, 48.2502)	(70, 50.0284)	(71, 50.50019999999999)	(72, 51.2008)	(73, 51.4524)	(74, 55.6303)	(75, 53.7064)	(76, 57.316500000000005)	(77, 58.4195)	(78, 55.7345)	(79, 52.466)	(80, 50.12140000000001)	(81, 49.978)	(82, 49.052099999999996)	(83, 49.8952)	(84, 52.3042)	(85, 52.9015)	(86, 51.652100000000004)	(87, 52.268499999999996)	(88, 53.87499999999999)	(89, 52.7891)	(90, 55.7697)	(91, 52.50129999999999)	(92, 50.413)	(93, 51.8324)	(94, 51.8546)	(95, 52.1869)	(96, 50.2617)	(97, 51.0263)	(98, 48.971399999999996)	(99, 46.8442)	(100, 50.3669)	(101, 48.497299999999996)
SRR5413806	(1, 63.1926)	(2, 47.8393)	(3, 47.2669)	(4, 42.937999999999995)	(5, 32.3262)	(6, 44.1537)	(7, 50.57620000000001)	(8, 53.0721)	(9, 60.6809)	(10, 51.483900000000006)	(11, 56.3596)	(12, 52.298100000000005)	(13, 57.3587)	(14, 54.94480000000001)	(15, 51.1892)	(16, 45.5915)	(17, 50.3001)	(18, 49.9542)	(19, 48.8524)	(20, 51.888400000000004)	(21, 54.467699999999994)	(22, 51.782799999999995)	(23, 51.002700000000004)	(24, 51.2983)	(25, 51.9425)	(26, 50.3084)	(27, 46.5552)	(28, 45.783)	(29, 47.0071)	(30, 49.8521)	(31, 50.5432)	(32, 48.3643)	(33, 49.3496)	(34, 52.1787)	(35, 49.105399999999996)	(36, 50.1196)	(37, 46.4694)	(38, 48.1222)	(39, 51.681)	(40, 52.4616)	(41, 49.571)	(42, 48.7242)	(43, 47.5036)	(44, 51.05460000000001)	(45, 51.324400000000004)	(46, 53.107800000000005)	(47, 47.721000000000004)	(48, 49.4433)	(49, 52.4508)	(50, 50.0679)	(51, 52.4482)	(52, 54.1937)	(53, 47.995)	(54, 52.9626)	(55, 50.373400000000004)	(56, 50.72879999999999)	(57, 52.0142)	(58, 49.5838)	(59, 54.9915)	(60, 53.1837)	(61, 49.4841)	(62, 49.7028)	(63, 51.7594)	(64, 54.1121)	(65, 51.0871)	(66, 53.48349999999999)	(67, 50.1072)	(68, 51.1389)	(69, 48.335499999999996)	(70, 49.822100000000006)	(71, 50.373999999999995)	(72, 51.4147)	(73, 51.3805)	(74, 55.5487)	(75, 53.520500000000006)	(76, 57.073499999999996)	(77, 58.0012)	(78, 55.5022)	(79, 52.70439999999999)	(80, 50.07899999999999)	(81, 49.981500000000004)	(82, 48.838300000000004)	(83, 49.6133)	(84, 52.1551)	(85, 52.6975)	(86, 51.6523)	(87, 52.2973)	(88, 53.82320000000001)	(89, 52.4952)	(90, 55.586800000000004)	(91, 52.680499999999995)	(92, 50.4794)	(93, 51.8857)	(94, 52.01)	(95, 52.1609)	(96, 50.2938)	(97, 51.165400000000005)	(98, 49.1032)	(99, 46.934599999999996)	(100, 50.1768)	(101, 48.4281)
SRR5413807	(1, 64.0463)	(2, 48.2744)	(3, 47.346199999999996)	(4, 42.7429)	(5, 31.5248)	(6, 43.528299999999994)	(7, 50.875099999999996)	(8, 52.9362)	(9, 61.0541)	(10, 51.3714)	(11, 56.455299999999994)	(12, 52.166900000000005)	(13, 57.9349)	(14, 55.122099999999996)	(15, 51.4179)	(16, 45.4833)	(17, 50.161699999999996)	(18, 50.2017)	(19, 49.109)	(20, 52.211)	(21, 54.778800000000004)	(22, 52.1225)	(23, 50.955600000000004)	(24, 51.1119)	(25, 52.09589999999999)	(26, 50.8964)	(27, 46.8287)	(28, 45.820100000000004)	(29, 47.1767)	(30, 49.765)	(31, 50.6229)	(32, 48.6441)	(33, 49.7595)	(34, 52.591)	(35, 49.321)	(36, 50.40989999999999)	(37, 46.5202)	(38, 48.2275)	(39, 52.0949)	(40, 52.7858)	(41, 49.7225)	(42, 49.0552)	(43, 47.7978)	(44, 51.2778)	(45, 51.572399999999995)	(46, 53.513999999999996)	(47, 47.4786)	(48, 49.3613)	(49, 52.261100000000006)	(50, 49.653999999999996)	(51, 52.5688)	(52, 54.5064)	(53, 47.7354)	(54, 52.915)	(55, 50.368500000000004)	(56, 50.477199999999996)	(57, 52.078599999999994)	(58, 49.4665)	(59, 55.2322)	(60, 53.4027)	(61, 49.3937)	(62, 49.669200000000004)	(63, 51.690000000000005)	(64, 54.161)	(65, 51.008399999999995)	(66, 53.7616)	(67, 49.9098)	(68, 51.0232)	(69, 47.924299999999995)	(70, 49.7413)	(71, 50.4217)	(72, 51.3243)	(73, 51.0381)	(74, 55.4517)	(75, 53.2177)	(76, 57.332899999999995)	(77, 58.0148)	(78, 55.6577)	(79, 52.9016)	(80, 50.027100000000004)	(81, 49.866899999999994)	(82, 48.6346)	(83, 49.4016)	(84, 52.0053)	(85, 52.5332)	(86, 51.314800000000005)	(87, 51.89470000000001)	(88, 53.4784)	(89, 52.3349)	(90, 55.75170000000001)	(91, 52.7946)	(92, 50.22990000000001)	(93, 51.9155)	(94, 52.233700000000006)	(95, 52.0626)	(96, 50.639900000000004)	(97, 51.2052)	(98, 49.0103)	(99, 46.972500000000004)	(100, 50.153800000000004)	(101, 48.5339)
SRR5413808	(1, 64.0723)	(2, 46.7275)	(3, 46.7959)	(4, 43.3899)	(5, 31.5576)	(6, 44.1236)	(7, 49.9302)	(8, 52.16)	(9, 61.122299999999996)	(10, 49.928)	(11, 55.737700000000004)	(12, 51.2013)	(13, 56.5075)	(14, 54.209399999999995)	(15, 50.4001)	(16, 45.054100000000005)	(17, 49.181799999999996)	(18, 48.9052)	(19, 47.7596)	(20, 50.626599999999996)	(21, 52.905100000000004)	(22, 50.5206)	(23, 49.6912)	(24, 49.9097)	(25, 50.477700000000006)	(26, 49.1556)	(27, 46.036100000000005)	(28, 45.161)	(29, 46.1683)	(30, 48.5579)	(31, 49.2361)	(32, 47.530499999999996)	(33, 48.4153)	(34, 50.7687)	(35, 48.0428)	(36, 48.9418)	(37, 45.935900000000004)	(38, 47.148)	(39, 50.42100000000001)	(40, 51.1375)	(41, 48.499900000000004)	(42, 47.9758)	(43, 46.9122)	(44, 49.8426)	(45, 50.0139)	(46, 51.6918)	(47, 46.8829)	(48, 48.417)	(49, 50.9671)	(50, 48.908699999999996)	(51, 51.165000000000006)	(52, 52.6157)	(53, 47.1201)	(54, 51.3997)	(55, 49.349199999999996)	(56, 49.5715)	(57, 50.9366)	(58, 48.6224)	(59, 53.298199999999994)	(60, 51.732)	(61, 48.5764)	(62, 48.6963)	(63, 50.519099999999995)	(64, 52.6606)	(65, 50.023300000000006)	(66, 52.137299999999996)	(67, 49.1686)	(68, 50.0956)	(69, 47.5755)	(70, 48.943999999999996)	(71, 49.413000000000004)	(72, 50.2564)	(73, 50.0681)	(74, 53.8099)	(75, 52.062)	(76, 55.331300000000006)	(77, 56.05949999999999)	(78, 53.97070000000001)	(79, 51.4675)	(80, 49.1344)	(81, 49.1454)	(82, 48.1451)	(83, 48.8281)	(84, 51.112100000000005)	(85, 51.47239999999999)	(86, 50.7131)	(87, 51.1855)	(88, 52.471599999999995)	(89, 51.4401)	(90, 54.0794)	(91, 51.6869)	(92, 49.6644)	(93, 50.8982)	(94, 51.05460000000001)	(95, 51.2252)	(96, 49.697599999999994)	(97, 50.35190000000001)	(98, 48.536699999999996)	(99, 46.7157)	(100, 49.7265)	(101, 48.0985)
SRR5413809	(1, 62.922999999999995)	(2, 47.737899999999996)	(3, 46.916999999999994)	(4, 42.7672)	(5, 32.371)	(6, 43.9268)	(7, 50.2724)	(8, 53.0675)	(9, 60.6297)	(10, 51.676500000000004)	(11, 56.3177)	(12, 52.4884)	(13, 57.3687)	(14, 54.892399999999995)	(15, 51.4934)	(16, 45.7468)	(17, 50.401300000000006)	(18, 49.8275)	(19, 48.7971)	(20, 51.9853)	(21, 54.535199999999996)	(22, 51.9017)	(23, 51.13680000000001)	(24, 51.3397)	(25, 51.895599999999995)	(26, 50.37779999999999)	(27, 46.584900000000005)	(28, 45.7563)	(29, 47.1248)	(30, 49.8676)	(31, 50.535399999999996)	(32, 48.463899999999995)	(33, 49.3804)	(34, 52.269299999999994)	(35, 49.054500000000004)	(36, 49.967800000000004)	(37, 46.509499999999996)	(38, 48.060900000000004)	(39, 51.69010000000001)	(40, 52.4963)	(41, 49.5243)	(42, 48.7125)	(43, 47.4461)	(44, 51.0701)	(45, 51.3076)	(46, 53.066)	(47, 47.876400000000004)	(48, 49.4321)	(49, 52.6015)	(50, 50.0244)	(51, 52.4871)	(52, 54.423100000000005)	(53, 48.1096)	(54, 53.2164)	(55, 50.4911)	(56, 50.7251)	(57, 52.21019999999999)	(58, 49.687799999999996)	(59, 55.1813)	(60, 53.207899999999995)	(61, 49.4876)	(62, 49.6931)	(63, 51.804300000000005)	(64, 54.1725)	(65, 51.3256)	(66, 53.7253)	(67, 50.2676)	(68, 51.1011)	(69, 48.363)	(70, 50.002599999999994)	(71, 50.564)	(72, 51.6269)	(73, 51.639100000000006)	(74, 55.6314)	(75, 53.698800000000006)	(76, 57.14660000000001)	(77, 58.13890000000001)	(78, 55.5179)	(79, 52.6729)	(80, 50.066500000000005)	(81, 49.9949)	(82, 48.8889)	(83, 49.780499999999996)	(84, 52.2533)	(85, 52.9037)	(86, 51.7806)	(87, 52.412499999999994)	(88, 53.878)	(89, 52.599799999999995)	(90, 55.6747)	(91, 52.590599999999995)	(92, 50.631800000000005)	(93, 51.868700000000004)	(94, 52.14959999999999)	(95, 52.392399999999995)	(96, 50.366)	(97, 51.2709)	(98, 49.2239)	(99, 46.9308)	(100, 50.4115)	(101, 48.7699)
