Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR5413733	(1, 0.0391553)	(2, 0.023493200000000002)	(3, 0.011746600000000001)	(4, 0.0)	(5, 0.0)	(6, 0.00261035)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.00130518)	(29, 0.0)	(30, 0.0)	(31, 0.00130518)	(32, 0.00391553)	(33, 0.00261035)	(34, 0.00261035)	(35, 0.00261035)	(36, 0.00522071)	(37, 0.00130518)	(38, 0.00130518)	(39, 0.0)	(40, 0.0)	(41, 0.00391553)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.00261035)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.00261035)	(69, 0.00261035)	(70, 0.0)	(71, 0.0)	(72, 0.00652588)	(73, 0.00130518)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.00522071)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.00130518)	(87, 0.0)	(88, 0.00130518)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 0.0)
SRR5413734	(1, 0.0540772)	(2, 0.0224471)	(3, 0.00510162)	(4, 0.0)	(5, 0.0)	(6, 0.00510162)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0010203200000000001)	(33, 0.0)	(34, 0.0010203200000000001)	(35, 0.0010203200000000001)	(36, 0.0010203200000000001)	(37, 0.0010203200000000001)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0010203200000000001)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0010203200000000001)	(55, 0.0)	(56, 0.0010203200000000001)	(57, 0.0)	(58, 0.0010203200000000001)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0010203200000000001)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.00306097)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.00510162)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 0.0)
SRR5413735	(1, 0.0380015)	(2, 0.0162864)	(3, 0.012667200000000002)	(4, 0.0)	(5, 0.0)	(6, 0.00180959)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.00180959)	(32, 0.00361919)	(33, 0.00361919)	(34, 0.00180959)	(35, 0.00180959)	(36, 0.00361919)	(37, 0.00180959)	(38, 0.00180959)	(39, 0.0)	(40, 0.00180959)	(41, 0.00361919)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.00361919)	(69, 0.00180959)	(70, 0.0)	(71, 0.0)	(72, 0.00542878)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.00723838)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.00180959)	(87, 0.0)	(88, 0.00180959)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 0.0)
SRR5413736	(1, 0.038162100000000004)	(2, 0.00763242)	(3, 0.0228973)	(4, 0.0)	(5, 0.0)	(6, 0.00254414)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.00254414)	(29, 0.0)	(30, 0.00254414)	(31, 0.00254414)	(32, 0.00254414)	(33, 0.00254414)	(34, 0.00254414)	(35, 0.00254414)	(36, 0.00508828)	(37, 0.00254414)	(38, 0.00254414)	(39, 0.0)	(40, 0.0)	(41, 0.00254414)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.00254414)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.00508828)	(69, 0.00254414)	(70, 0.0)	(71, 0.0)	(72, 0.00254414)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.010176600000000001)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.00254414)	(87, 0.0)	(88, 0.00254414)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 0.0)
SRR5413737	(1, 0.0444987)	(2, 0.0177995)	(3, 0.00635696)	(4, 0.0)	(5, 0.0)	(6, 0.00381417)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.00127139)	(32, 0.00127139)	(33, 0.00127139)	(34, 0.00127139)	(35, 0.00127139)	(36, 0.00127139)	(37, 0.0)	(38, 0.00127139)	(39, 0.0)	(40, 0.0)	(41, 0.00127139)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.00254278)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.00508556)	(69, 0.00127139)	(70, 0.0)	(71, 0.0)	(72, 0.00762835)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.00889974)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 0.0)
SRR5413805	(1, 0.103604)	(2, 0.00400935)	(3, 0.0)	(4, 0.0)	(5, 0.106625)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.00151077)	(14, 0.00017432)	(15, 0.000755385)	(16, 0.00400935)	(17, 0.00883219)	(18, 0.00220805)	(19, 0.00238237)	(20, 0.0110983)	(21, 0.0413718)	(22, 0.0360842)	(23, 0.016850900000000002)	(24, 0.027252)	(25, 0.033120699999999996)	(26, 0.0232426)	(27, 0.0146428)	(28, 0.0233007)	(29, 0.0122024)	(30, 0.0073214199999999995)	(31, 0.00836734)	(32, 0.0190008)	(33, 0.017722500000000002)	(34, 0.00185941)	(35, 0.00017432)	(36, 0.0037769199999999996)	(37, 0.0112146)	(38, 0.00982)	(39, 0.00325397)	(40, 0.00482284)	(41, 0.0062174000000000005)	(42, 0.0031377500000000003)	(43, 0.0175482)	(44, 0.0120281)	(45, 0.0133645)	(46, 0.0190008)	(47, 0.0149334)	(48, 0.00522959)	(49, 0.000581065)	(50, 0.00197562)	(51, 0.0617672)	(52, 0.0213832)	(53, 0.0015688800000000001)	(54, 0.00017432)	(55, 0.00255669)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.00185941)	(60, 0.0033120700000000003)	(61, 0.174843)	(62, 0.241781)	(63, 0.0836734)	(64, 0.0439866)	(65, 0.285535)	(66, 0.148811)	(67, 0.0165023)	(68, 0.007089)	(69, 0.007670059999999999)	(70, 0.007263319999999999)	(71, 0.0017431999999999999)	(72, 0.0015688800000000001)	(73, 0.0009878110000000001)	(74, 0.00522959)	(75, 0.000290533)	(76, 0.0053458)	(77, 0.00040674600000000004)	(78, 0.00290533)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0044161)	(83, 0.0017431999999999999)	(84, 0.0010459199999999999)	(85, 0.0016850900000000002)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.00238237)	(94, 0.00214994)	(95, 0.00116213)	(96, 0.00238237)	(97, 0.0)	(98, 0.0)	(99, 0.000581065)	(100, 0.0)	(101, 0.00011621300000000001)
SRR5413806	(1, 0.0976846)	(2, 0.00379633)	(3, 0.0)	(4, 0.0)	(5, 0.10346400000000001)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 5.66616e-05)	(12, 0.0)	(13, 0.0018131700000000002)	(14, 0.000169985)	(15, 0.0009065859999999999)	(16, 0.00441961)	(17, 0.00883921)	(18, 0.00237979)	(19, 0.00277642)	(20, 0.0124089)	(21, 0.0428928)	(22, 0.0359801)	(23, 0.018925)	(24, 0.029010800000000003)	(25, 0.0345069)	(26, 0.0236279)	(27, 0.0158653)	(28, 0.0249311)	(29, 0.0131455)	(30, 0.00810261)	(31, 0.0082726)	(32, 0.0186417)	(33, 0.0172251)	(34, 0.00237979)	(35, 0.00028330799999999996)	(36, 0.00356968)	(37, 0.0120689)	(38, 0.0102558)	(39, 0.0032863700000000003)	(40, 0.00526953)	(41, 0.00594947)	(42, 0.0031730499999999997)	(43, 0.0177351)	(44, 0.0124089)	(45, 0.0135421)	(46, 0.019265)	(47, 0.015695300000000002)	(48, 0.0056095)	(49, 0.000679939)	(50, 0.0022098)	(51, 0.059948)	(52, 0.022268)	(53, 0.0019264999999999998)	(54, 0.000113323)	(55, 0.0029464)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.00186983)	(60, 0.00237979)	(61, 0.166132)	(62, 0.231236)	(63, 0.0808561)	(64, 0.0418163)	(65, 0.274129)	(66, 0.14210699999999998)	(67, 0.0155819)	(68, 0.00657275)	(69, 0.007705979999999999)	(70, 0.007479329999999999)	(71, 0.0018131700000000002)	(72, 0.00203982)	(73, 0.00107657)	(74, 0.00402298)	(75, 0.00028330799999999996)	(76, 0.0052128700000000005)	(77, 0.000226646)	(78, 0.0024931099999999998)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.00458959)	(83, 0.00209648)	(84, 0.000793263)	(85, 0.0019831600000000003)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0026631)	(94, 0.0022098)	(95, 0.000963248)	(96, 0.00209648)	(97, 0.000113323)	(98, 0.0)	(99, 0.000679939)	(100, 0.0)	(101, 0.00028330799999999996)
SRR5413807	(1, 0.101906)	(2, 0.0033815700000000004)	(3, 0.0)	(4, 0.0)	(5, 0.10047299999999999)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.00011462999999999999)	(12, 0.0)	(13, 0.00206333)	(14, 0.00011462999999999999)	(15, 0.0007450919999999999)	(16, 0.00406935)	(17, 0.00819602)	(18, 0.00257917)	(19, 0.0020060200000000003)	(20, 0.0115203)	(21, 0.0396618)	(22, 0.0350193)	(23, 0.0162774)	(24, 0.0256197)	(25, 0.0327841)	(26, 0.020805300000000002)	(27, 0.014729899999999999)	(28, 0.0231552)	(29, 0.0118068)	(30, 0.0076228699999999995)	(31, 0.008367959999999999)	(32, 0.0179968)	(33, 0.0175383)	(34, 0.0015475)	(35, 0.000171944)	(36, 0.0033815700000000004)	(37, 0.0118642)	(38, 0.00997278)	(39, 0.003095)	(40, 0.00487176)	(41, 0.00601805)	(42, 0.00298037)	(43, 0.016564)	(44, 0.0124373)	(45, 0.0132397)	(46, 0.0181688)	(47, 0.0154177)	(48, 0.00452787)	(49, 0.000573148)	(50, 0.00212065)	(51, 0.0625304)	(52, 0.0233271)	(53, 0.00126093)	(54, 0.000229259)	(55, 0.00263648)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0020060200000000003)	(60, 0.003095)	(61, 0.168907)	(62, 0.23172399999999999)	(63, 0.0828772)	(64, 0.0447629)	(65, 0.273735)	(66, 0.145293)	(67, 0.0142714)	(68, 0.00567417)	(69, 0.00779481)	(70, 0.00653389)	(71, 0.00189139)	(72, 0.00160481)	(73, 0.000974352)	(74, 0.004012040000000001)	(75, 0.000286574)	(76, 0.0046425)	(77, 0.000171944)	(78, 0.00223528)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0035535199999999997)	(83, 0.0014328700000000002)	(84, 0.000687778)	(85, 0.0013755599999999998)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.00011462999999999999)	(91, 0.0)	(92, 0.0)	(93, 0.0019487000000000003)	(94, 0.00160481)	(95, 0.000802407)	(96, 0.0014328700000000002)	(97, 0.0)	(98, 0.0)	(99, 0.000573148)	(100, 0.0)	(101, 0.000229259)
SRR5413808	(1, 0.0981561)	(2, 0.00305022)	(3, 0.0)	(4, 0.0)	(5, 0.102487)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 6.10044e-05)	(12, 0.0)	(13, 0.00146411)	(14, 0.000305022)	(15, 0.000854062)	(16, 0.00390428)	(17, 0.00786957)	(18, 0.00225716)	(19, 0.0023791700000000003)	(20, 0.0120179)	(21, 0.0434352)	(22, 0.0389208)	(23, 0.0174473)	(24, 0.028611100000000004)	(25, 0.0359316)	(26, 0.0240357)	(27, 0.0152511)	(28, 0.0240357)	(29, 0.011956900000000001)	(30, 0.00738154)	(31, 0.00939468)	(32, 0.021046500000000003)	(33, 0.0195214)	(34, 0.00152511)	(35, 0.00024401799999999998)	(36, 0.00286721)	(37, 0.011407800000000001)	(38, 0.0100047)	(39, 0.0028062)	(40, 0.00481935)	(41, 0.00603944)	(42, 0.0026842000000000003)	(43, 0.0189724)	(44, 0.0123839)	(45, 0.013543)	(46, 0.020375499999999998)	(47, 0.015922199999999997)	(48, 0.00463634)	(49, 0.00024401799999999998)	(50, 0.0020741500000000003)	(51, 0.0641157)	(52, 0.0240357)	(53, 0.00128109)	(54, 0.0)	(55, 0.00231817)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0015861199999999999)	(60, 0.00317223)	(61, 0.173131)	(62, 0.239137)	(63, 0.0840641)	(64, 0.0454483)	(65, 0.282268)	(66, 0.14946099999999998)	(67, 0.015007099999999999)	(68, 0.00732053)	(69, 0.00793058)	(70, 0.00652747)	(71, 0.0013421000000000002)	(72, 0.0018301300000000001)	(73, 0.000732053)	(74, 0.00481935)	(75, 0.00048803599999999996)	(76, 0.00591743)	(77, 0.000183013)	(78, 0.00244018)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.00427031)	(83, 0.00195214)	(84, 0.000854062)	(85, 0.00201315)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.00012200899999999999)	(91, 0.0)	(92, 0.0)	(93, 0.0025621899999999998)	(94, 0.00244018)	(95, 0.000976071)	(96, 0.00176913)	(97, 0.00012200899999999999)	(98, 0.0)	(99, 0.000915067)	(100, 0.0)	(101, 0.000183013)
SRR5413809	(1, 0.0961823)	(2, 0.00284601)	(3, 0.0)	(4, 0.0)	(5, 0.0966997)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 6.468210000000001e-05)	(12, 0.0)	(13, 0.0018757799999999999)	(14, 6.468210000000001e-05)	(15, 0.00103491)	(16, 0.00465711)	(17, 0.008926130000000001)	(18, 0.0025226)	(19, 0.00245792)	(20, 0.0118368)	(21, 0.0393914)	(22, 0.0350577)	(23, 0.0176582)	(24, 0.0257435)	(25, 0.0327938)	(26, 0.022509400000000002)	(27, 0.0156531)	(28, 0.0238677)	(29, 0.0130011)	(30, 0.008343989999999999)	(31, 0.00860272)	(32, 0.0184344)	(33, 0.0172054)	(34, 0.00168173)	(35, 0.000129364)	(36, 0.00284601)	(37, 0.010996)	(38, 0.0101551)	(39, 0.0032341)	(40, 0.00491584)	(41, 0.00627416)	(42, 0.00278133)	(43, 0.0170761)	(44, 0.0117721)	(45, 0.0133892)	(46, 0.018499099999999997)	(47, 0.0153943)	(48, 0.00523925)	(49, 0.000388093)	(50, 0.0025226)	(51, 0.0585373)	(52, 0.0215391)	(53, 0.00148769)	(54, 0.000129364)	(55, 0.00239324)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.00232856)	(60, 0.00291069)	(61, 0.166621)	(62, 0.23498999999999998)	(63, 0.0791062)	(64, 0.0410084)	(65, 0.274187)	(66, 0.144176)	(67, 0.0151356)	(68, 0.00743844)	(69, 0.00808526)	(70, 0.00653289)	(71, 0.00142301)	(72, 0.0018757799999999999)	(73, 0.000582139)	(74, 0.0043983799999999995)	(75, 0.000452775)	(76, 0.005886069999999999)	(77, 0.000129364)	(78, 0.00239324)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.00459243)	(83, 0.0015523699999999997)	(84, 0.000646821)	(85, 0.00168173)	(86, 0.0)	(87, 0.0)	(88, 6.468210000000001e-05)	(89, 0.0)	(90, 6.468210000000001e-05)	(91, 0.0)	(92, 0.0)	(93, 0.0021991899999999997)	(94, 0.00194046)	(95, 0.0008408669999999999)	(96, 0.00174642)	(97, 0.0)	(98, 0.0)	(99, 0.000711503)	(100, 0.0)	(101, 0.00019404600000000002)
