Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR5413733	(1, 34.7031)	(2, 34.7347)	(3, 34.7434)	(4, 34.7697)	(5, 34.7779)	(6, 39.6821)	(7, 39.688)	(8, 39.7006)	(9, 39.7084)	(10, 39.712)	(11, 39.6927)	(12, 39.6685)	(13, 39.6854)	(14, 39.6652)	(15, 39.6551)	(16, 39.6235)	(17, 39.6532)	(18, 39.6412)	(19, 39.6774)	(20, 39.6864)	(21, 39.6861)	(22, 39.681)	(23, 39.6939)	(24, 39.6808)	(25, 39.6533)	(26, 39.6318)	(27, 39.6507)	(28, 39.6691)	(29, 39.6346)	(30, 39.6302)	(31, 39.6561)	(32, 39.6281)	(33, 39.6233)	(34, 39.616)	(35, 39.5974)	(36, 39.5452)	(37, 39.5195)	(38, 39.517)	(39, 39.4877)	(40, 39.5135)	(41, 39.4888)	(42, 39.4782)	(43, 39.454)	(44, 39.4089)	(45, 39.3804)	(46, 39.3473)	(47, 39.2982)	(48, 39.2914)	(49, 39.2445)	(50, 39.1943)	(51, 39.2104)	(52, 39.1793)	(53, 39.1624)	(54, 39.1761)	(55, 39.1536)	(56, 39.1333)	(57, 39.1828)	(58, 39.0033)	(59, 38.9739)	(60, 38.8031)	(61, 38.3299)	(62, 38.1872)	(63, 37.363)	(64, 36.9903)	(65, 36.49)	(66, 34.7456)	(67, 34.4826)	(68, 31.6659)	(69, 31.0795)	(70, 29.6513)	(71, 22.6051)	(72, 21.7743)	(73, 21.2958)	(74, 21.1676)	(75, 20.9949)	(76, 20.5566)	(77, 20.6358)	(78, 20.3459)	(79, 20.0789)	(80, 19.7977)	(81, 19.4826)	(82, 19.3312)	(83, 18.9394)	(84, 18.6049)	(85, 18.2959)	(86, 17.7901)	(87, 17.5962)	(88, 17.25)	(89, 16.9605)	(90, 16.7013)	(91, 16.443)	(92, 16.1565)	(93, 15.9085)	(94, 15.7436)	(95, 15.533)	(96, 15.2256)	(97, 15.074)	(98, 15.0042)	(99, 14.8931)	(100, 14.8629)	(101, 14.419)
SRR5413734	(1, 34.707)	(2, 34.7298)	(3, 34.7499)	(4, 34.773)	(5, 34.7867)	(6, 39.698)	(7, 39.6951)	(8, 39.6983)	(9, 39.7182)	(10, 39.7061)	(11, 39.7055)	(12, 39.6931)	(13, 39.6967)	(14, 39.6864)	(15, 39.6683)	(16, 39.6667)	(17, 39.6128)	(18, 39.6544)	(19, 39.6753)	(20, 39.6816)	(21, 39.6916)	(22, 39.6777)	(23, 39.7126)	(24, 39.6801)	(25, 39.6248)	(26, 39.6393)	(27, 39.6378)	(28, 39.6576)	(29, 39.6409)	(30, 39.6228)	(31, 39.6504)	(32, 39.6099)	(33, 39.6188)	(34, 39.6036)	(35, 39.5901)	(36, 39.5483)	(37, 39.5061)	(38, 39.5161)	(39, 39.497)	(40, 39.4955)	(41, 39.475)	(42, 39.4623)	(43, 39.4227)	(44, 39.3722)	(45, 39.3464)	(46, 39.3133)	(47, 39.2383)	(48, 39.2187)	(49, 39.1899)	(50, 39.1352)	(51, 39.1338)	(52, 39.1144)	(53, 39.0921)	(54, 39.0905)	(55, 39.0672)	(56, 39.0713)	(57, 39.0999)	(58, 38.982)	(59, 38.9555)	(60, 38.8491)	(61, 38.4931)	(62, 38.3776)	(63, 37.7549)	(64, 37.4606)	(65, 37.0699)	(66, 35.7621)	(67, 35.5706)	(68, 33.6001)	(69, 33.1233)	(70, 32.0062)	(71, 26.8021)	(72, 26.2862)	(73, 25.8482)	(74, 25.7262)	(75, 25.6668)	(76, 25.3338)	(77, 25.348)	(78, 25.0985)	(79, 24.933)	(80, 24.6195)	(81, 24.4488)	(82, 24.3977)	(83, 24.1018)	(84, 23.8147)	(85, 23.6657)	(86, 23.2504)	(87, 23.0859)	(88, 22.7982)	(89, 22.6105)	(90, 22.3527)	(91, 22.1815)	(92, 21.9037)	(93, 21.7159)	(94, 21.569)	(95, 21.3118)	(96, 21.0985)	(97, 20.9704)	(98, 20.8943)	(99, 20.768)	(100, 20.693)	(101, 20.0818)
SRR5413735	(1, 34.6534)	(2, 34.6793)	(3, 34.6939)	(4, 34.7268)	(5, 34.7336)	(6, 39.619)	(7, 39.6361)	(8, 39.6501)	(9, 39.6807)	(10, 39.6621)	(11, 39.6608)	(12, 39.6492)	(13, 39.6539)	(14, 39.6237)	(15, 39.5974)	(16, 39.591)	(17, 39.51)	(18, 39.589)	(19, 39.6202)	(20, 39.6417)	(21, 39.6547)	(22, 39.6188)	(23, 39.6474)	(24, 39.6124)	(25, 39.5173)	(26, 39.5541)	(27, 39.5545)	(28, 39.5993)	(29, 39.5729)	(30, 39.574)	(31, 39.6107)	(32, 39.5674)	(33, 39.5773)	(34, 39.55)	(35, 39.5435)	(36, 39.4873)	(37, 39.4293)	(38, 39.471)	(39, 39.4477)	(40, 39.4896)	(41, 39.4705)	(42, 39.4788)	(43, 39.4503)	(44, 39.4139)	(45, 39.4028)	(46, 39.3681)	(47, 39.3258)	(48, 39.309)	(49, 39.2527)	(50, 39.2026)	(51, 39.1997)	(52, 39.1775)	(53, 39.1578)	(54, 39.1853)	(55, 39.1568)	(56, 39.1268)	(57, 39.1713)	(58, 38.9489)	(59, 38.9117)	(60, 38.7292)	(61, 38.1575)	(62, 37.992)	(63, 37.0266)	(64, 36.6372)	(65, 36.0356)	(66, 34.0862)	(67, 33.8619)	(68, 30.805)	(69, 30.2048)	(70, 28.7024)	(71, 21.4775)	(72, 20.7761)	(73, 20.0742)	(74, 20.0161)	(75, 19.9)	(76, 19.6194)	(77, 19.784)	(78, 19.6069)	(79, 19.5155)	(80, 19.3705)	(81, 19.173)	(82, 19.1711)	(83, 18.8998)	(84, 18.71)	(85, 18.569)	(86, 18.2296)	(87, 18.0893)	(88, 17.9223)	(89, 17.7883)	(90, 17.6485)	(91, 17.5787)	(92, 17.3946)	(93, 17.3478)	(94, 17.2326)	(95, 17.1027)	(96, 16.9595)	(97, 16.8597)	(98, 16.799)	(99, 16.6541)	(100, 16.5627)	(101, 16.0231)
SRR5413736	(1, 34.5575)	(2, 34.5933)	(3, 34.6008)	(4, 34.6589)	(5, 34.6651)	(6, 39.541)	(7, 39.5223)	(8, 39.5483)	(9, 39.5912)	(10, 39.5638)	(11, 39.5378)	(12, 39.4925)	(13, 39.494)	(14, 39.4787)	(15, 39.492)	(16, 39.4564)	(17, 39.4007)	(18, 39.4252)	(19, 39.4955)	(20, 39.5031)	(21, 39.5267)	(22, 39.4949)	(23, 39.5475)	(24, 39.5107)	(25, 39.4509)	(26, 39.4313)	(27, 39.4298)	(28, 39.4915)	(29, 39.4492)	(30, 39.4394)	(31, 39.4919)	(32, 39.4564)	(33, 39.4577)	(34, 39.441)	(35, 39.4293)	(36, 39.3521)	(37, 39.2549)	(38, 39.2707)	(39, 39.262)	(40, 39.3421)	(41, 39.3477)	(42, 39.3605)	(43, 39.3515)	(44, 39.3077)	(45, 39.3012)	(46, 39.2918)	(47, 39.2122)	(48, 39.2187)	(49, 39.1462)	(50, 39.0403)	(51, 39.0834)	(52, 39.0729)	(53, 39.0174)	(54, 39.0198)	(55, 38.9778)	(56, 38.9479)	(57, 39.0483)	(58, 38.7025)	(59, 38.622)	(60, 38.4589)	(61, 37.7874)	(62, 37.6094)	(63, 36.5)	(64, 36.1218)	(65, 35.513)	(66, 33.2391)	(67, 32.9832)	(68, 29.0525)	(69, 28.1332)	(70, 26.2335)	(71, 19.4576)	(72, 18.7971)	(73, 18.0625)	(74, 17.9339)	(75, 18.0006)	(76, 17.6221)	(77, 17.8667)	(78, 17.6143)	(79, 17.5281)	(80, 17.1918)	(81, 17.0623)	(82, 17.1847)	(83, 16.8769)	(84, 16.599)	(85, 16.5058)	(86, 16.056)	(87, 15.9924)	(88, 15.7726)	(89, 15.6642)	(90, 15.5268)	(91, 15.4441)	(92, 15.2084)	(93, 15.1208)	(94, 15.0971)	(95, 14.9127)	(96, 14.7569)	(97, 14.7598)	(98, 14.6879)	(99, 14.5332)	(100, 14.3945)	(101, 13.6757)
SRR5413737	(1, 34.6372)	(2, 34.6566)	(3, 34.6837)	(4, 34.7227)	(5, 34.7318)	(6, 39.6207)	(7, 39.6214)	(8, 39.6385)	(9, 39.6572)	(10, 39.6156)	(11, 39.6294)	(12, 39.5479)	(13, 39.5834)	(14, 39.524)	(15, 39.5674)	(16, 39.5401)	(17, 39.4202)	(18, 39.513)	(19, 39.5547)	(20, 39.5703)	(21, 39.6032)	(22, 39.5465)	(23, 39.602)	(24, 39.5886)	(25, 39.5043)	(26, 39.5355)	(27, 39.5422)	(28, 39.566)	(29, 39.5722)	(30, 39.5445)	(31, 39.5408)	(32, 39.5021)	(33, 39.5014)	(34, 39.5179)	(35, 39.5204)	(36, 39.4634)	(37, 39.4751)	(38, 39.4955)	(39, 39.4517)	(40, 39.4767)	(41, 39.4828)	(42, 39.487)	(43, 39.4874)	(44, 39.465)	(45, 39.442)	(46, 39.4118)	(47, 39.3598)	(48, 39.3774)	(49, 39.3272)	(50, 39.2201)	(51, 39.2898)	(52, 39.2607)	(53, 39.2273)	(54, 39.2207)	(55, 39.1987)	(56, 39.1602)	(57, 39.2509)	(58, 38.9546)	(59, 38.9434)	(60, 38.8397)	(61, 38.3216)	(62, 38.1657)	(63, 37.1647)	(64, 36.7497)	(65, 36.1467)	(66, 34.0093)	(67, 33.7062)	(68, 30.0822)	(69, 29.3352)	(70, 27.6297)	(71, 19.673)	(72, 18.784)	(73, 18.0703)	(74, 17.8749)	(75, 17.9574)	(76, 17.5288)	(77, 17.6739)	(78, 17.3681)	(79, 16.9962)	(80, 17.0278)	(81, 16.8264)	(82, 16.0714)	(83, 15.7406)	(84, 15.6987)	(85, 15.2986)	(86, 15.2113)	(87, 15.0376)	(88, 14.6654)	(89, 14.4216)	(90, 14.1676)	(91, 13.972)	(92, 13.6661)	(93, 13.4865)	(94, 13.4039)	(95, 13.2154)	(96, 12.9335)	(97, 12.8853)	(98, 12.7918)	(99, 12.6564)	(100, 12.6033)	(101, 12.208)
SRR5413805	(1, 33.7689)	(2, 33.7611)	(3, 33.7625)	(4, 33.8586)	(5, 33.8151)	(6, 37.9919)	(7, 37.8776)	(8, 37.8387)	(9, 37.8602)	(10, 37.7857)	(11, 37.799)	(12, 37.7339)	(13, 37.7232)	(14, 37.7194)	(15, 37.7024)	(16, 37.7121)	(17, 37.691)	(18, 37.7251)	(19, 37.7144)	(20, 37.712)	(21, 37.724)	(22, 37.6947)	(23, 37.7239)	(24, 37.6964)	(25, 37.6767)	(26, 37.6501)	(27, 37.6775)	(28, 37.7059)	(29, 37.7102)	(30, 37.699)	(31, 37.7061)	(32, 37.7019)	(33, 37.6969)	(34, 37.6969)	(35, 37.6823)	(36, 37.6984)	(37, 37.6928)	(38, 37.7075)	(39, 37.7019)	(40, 37.6922)	(41, 37.6798)	(42, 37.6715)	(43, 37.6379)	(44, 37.6318)	(45, 37.6225)	(46, 37.6005)	(47, 37.5683)	(48, 37.5426)	(49, 37.5415)	(50, 37.5251)	(51, 37.5041)	(52, 37.4872)	(53, 37.4659)	(54, 37.4672)	(55, 37.4505)	(56, 37.4679)	(57, 37.4776)	(58, 37.4729)	(59, 37.4613)	(60, 37.4307)	(61, 37.3834)	(62, 37.3922)	(63, 37.4261)	(64, 37.4215)	(65, 37.3024)	(66, 37.3272)	(67, 37.3204)	(68, 37.2834)	(69, 37.259)	(70, 37.2385)	(71, 37.2148)	(72, 37.1822)	(73, 37.1569)	(74, 37.134)	(75, 37.1372)	(76, 37.1023)	(77, 37.1099)	(78, 37.0831)	(79, 37.0112)	(80, 37.0092)	(81, 36.9966)	(82, 36.9824)	(83, 36.9872)	(84, 36.9648)	(85, 36.9639)	(86, 36.9247)	(87, 36.918)	(88, 36.8856)	(89, 36.8669)	(90, 36.8451)	(91, 36.7962)	(92, 36.7569)	(93, 36.7372)	(94, 36.6945)	(95, 36.6618)	(96, 36.643)	(97, 36.5959)	(98, 36.5674)	(99, 36.5288)	(100, 36.427)	(101, 34.648)
SRR5413806	(1, 33.7614)	(2, 33.7653)	(3, 33.7542)	(4, 33.8553)	(5, 33.8134)	(6, 37.9879)	(7, 37.8794)	(8, 37.846)	(9, 37.858)	(10, 37.7622)	(11, 37.805)	(12, 37.7283)	(13, 37.7338)	(14, 37.7179)	(15, 37.6878)	(16, 37.7102)	(17, 37.6546)	(18, 37.7136)	(19, 37.7075)	(20, 37.7074)	(21, 37.7207)	(22, 37.6976)	(23, 37.7168)	(24, 37.6986)	(25, 37.6839)	(26, 37.6602)	(27, 37.6883)	(28, 37.6984)	(29, 37.7144)	(30, 37.7044)	(31, 37.7069)	(32, 37.6977)	(33, 37.6916)	(34, 37.6926)	(35, 37.6844)	(36, 37.6963)	(37, 37.6857)	(38, 37.6889)	(39, 37.6807)	(40, 37.6841)	(41, 37.6755)	(42, 37.6658)	(43, 37.6429)	(44, 37.6285)	(45, 37.6218)	(46, 37.5957)	(47, 37.5695)	(48, 37.546)	(49, 37.539)	(50, 37.5283)	(51, 37.501)	(52, 37.4783)	(53, 37.467)	(54, 37.4716)	(55, 37.4555)	(56, 37.4686)	(57, 37.4793)	(58, 37.4799)	(59, 37.4734)	(60, 37.4459)	(61, 37.3821)	(62, 37.3942)	(63, 37.435)	(64, 37.4265)	(65, 37.3138)	(66, 37.3305)	(67, 37.3302)	(68, 37.2863)	(69, 37.265)	(70, 37.251)	(71, 37.2217)	(72, 37.1959)	(73, 37.1805)	(74, 37.1642)	(75, 37.1681)	(76, 37.1364)	(77, 37.1439)	(78, 37.1074)	(79, 37.0694)	(80, 37.0679)	(81, 37.0599)	(82, 37.0453)	(83, 37.0278)	(84, 36.9977)	(85, 36.9833)	(86, 36.9461)	(87, 36.9514)	(88, 36.9144)	(89, 36.8912)	(90, 36.8802)	(91, 36.8365)	(92, 36.8043)	(93, 36.789)	(94, 36.7387)	(95, 36.6979)	(96, 36.6675)	(97, 36.6047)	(98, 36.5701)	(99, 36.5237)	(100, 36.4368)	(101, 34.6552)
SRR5413807	(1, 33.7235)	(2, 33.7205)	(3, 33.7165)	(4, 33.8205)	(5, 33.7812)	(6, 37.9239)	(7, 37.8112)	(8, 37.7754)	(9, 37.7883)	(10, 37.7146)	(11, 37.7225)	(12, 37.6531)	(13, 37.6624)	(14, 37.6473)	(15, 37.6267)	(16, 37.6304)	(17, 37.607)	(18, 37.6439)	(19, 37.6444)	(20, 37.6321)	(21, 37.6395)	(22, 37.6139)	(23, 37.6411)	(24, 37.6331)	(25, 37.6087)	(26, 37.5804)	(27, 37.6022)	(28, 37.6206)	(29, 37.6334)	(30, 37.6258)	(31, 37.6299)	(32, 37.6202)	(33, 37.6127)	(34, 37.6135)	(35, 37.612)	(36, 37.6229)	(37, 37.5933)	(38, 37.6049)	(39, 37.599)	(40, 37.6044)	(41, 37.595)	(42, 37.5853)	(43, 37.5738)	(44, 37.5642)	(45, 37.556)	(46, 37.5389)	(47, 37.5156)	(48, 37.5107)	(49, 37.4998)	(50, 37.4833)	(51, 37.4635)	(52, 37.4393)	(53, 37.4331)	(54, 37.4359)	(55, 37.4161)	(56, 37.4277)	(57, 37.434)	(58, 37.4346)	(59, 37.4168)	(60, 37.3947)	(61, 37.3416)	(62, 37.3513)	(63, 37.3831)	(64, 37.3753)	(65, 37.2627)	(66, 37.2922)	(67, 37.2891)	(68, 37.2603)	(69, 37.2414)	(70, 37.232)	(71, 37.1988)	(72, 37.173)	(73, 37.1641)	(74, 37.1503)	(75, 37.1495)	(76, 37.1094)	(77, 37.1299)	(78, 37.1084)	(79, 37.0617)	(80, 37.0636)	(81, 37.0543)	(82, 37.0358)	(83, 37.0228)	(84, 36.9928)	(85, 36.9813)	(86, 36.9418)	(87, 36.9471)	(88, 36.9084)	(89, 36.8877)	(90, 36.8784)	(91, 36.8262)	(92, 36.8018)	(93, 36.7863)	(94, 36.7275)	(95, 36.6905)	(96, 36.6477)	(97, 36.5986)	(98, 36.5624)	(99, 36.5165)	(100, 36.4181)	(101, 34.6012)
SRR5413808	(1, 33.8224)	(2, 33.822)	(3, 33.8164)	(4, 33.9116)	(5, 33.8704)	(6, 38.0845)	(7, 37.9752)	(8, 37.9457)	(9, 37.9519)	(10, 37.8604)	(11, 37.9026)	(12, 37.8417)	(13, 37.8383)	(14, 37.8242)	(15, 37.8117)	(16, 37.8276)	(17, 37.773)	(18, 37.8273)	(19, 37.8344)	(20, 37.8275)	(21, 37.8361)	(22, 37.8054)	(23, 37.8331)	(24, 37.8178)	(25, 37.798)	(26, 37.7716)	(27, 37.7985)	(28, 37.8189)	(29, 37.8237)	(30, 37.815)	(31, 37.8141)	(32, 37.8162)	(33, 37.8077)	(34, 37.8025)	(35, 37.8012)	(36, 37.8107)	(37, 37.7942)	(38, 37.798)	(39, 37.7914)	(40, 37.7848)	(41, 37.7741)	(42, 37.7607)	(43, 37.7396)	(44, 37.73)	(45, 37.7207)	(46, 37.6883)	(47, 37.66)	(48, 37.6267)	(49, 37.6269)	(50, 37.6069)	(51, 37.5833)	(52, 37.5567)	(53, 37.5616)	(54, 37.5572)	(55, 37.543)	(56, 37.5509)	(57, 37.5676)	(58, 37.5571)	(59, 37.5556)	(60, 37.5338)	(61, 37.4729)	(62, 37.4747)	(63, 37.5166)	(64, 37.5118)	(65, 37.4026)	(66, 37.4256)	(67, 37.4277)	(68, 37.3828)	(69, 37.3636)	(70, 37.3465)	(71, 37.3176)	(72, 37.2905)	(73, 37.2721)	(74, 37.2573)	(75, 37.2496)	(76, 37.2229)	(77, 37.2281)	(78, 37.2093)	(79, 37.1636)	(80, 37.1621)	(81, 37.1516)	(82, 37.1293)	(83, 37.1081)	(84, 37.0852)	(85, 37.0657)	(86, 37.0259)	(87, 37.0198)	(88, 36.9858)	(89, 36.9651)	(90, 36.9561)	(91, 36.9082)	(92, 36.8869)	(93, 36.8696)	(94, 36.8183)	(95, 36.7826)	(96, 36.7533)	(97, 36.6928)	(98, 36.6667)	(99, 36.6301)	(100, 36.54)	(101, 34.8624)
SRR5413809	(1, 33.7901)	(2, 33.7884)	(3, 33.7835)	(4, 33.8768)	(5, 33.8353)	(6, 38.0296)	(7, 37.9226)	(8, 37.895)	(9, 37.8972)	(10, 37.836)	(11, 37.831)	(12, 37.7708)	(13, 37.7712)	(14, 37.7701)	(15, 37.7347)	(16, 37.7529)	(17, 37.7352)	(18, 37.7733)	(19, 37.766)	(20, 37.7603)	(21, 37.7682)	(22, 37.7417)	(23, 37.7635)	(24, 37.7468)	(25, 37.7315)	(26, 37.6984)	(27, 37.7309)	(28, 37.7432)	(29, 37.7636)	(30, 37.7487)	(31, 37.7487)	(32, 37.7451)	(33, 37.7473)	(34, 37.7483)	(35, 37.7314)	(36, 37.7465)	(37, 37.7286)	(38, 37.7314)	(39, 37.7295)	(40, 37.7212)	(41, 37.7179)	(42, 37.7043)	(43, 37.6853)	(44, 37.6784)	(45, 37.6746)	(46, 37.6466)	(47, 37.6142)	(48, 37.5887)	(49, 37.5818)	(50, 37.5559)	(51, 37.5378)	(52, 37.5148)	(53, 37.5061)	(54, 37.5086)	(55, 37.491)	(56, 37.5072)	(57, 37.5172)	(58, 37.5198)	(59, 37.5089)	(60, 37.4779)	(61, 37.4171)	(62, 37.4216)	(63, 37.4579)	(64, 37.4535)	(65, 37.3403)	(66, 37.3634)	(67, 37.3541)	(68, 37.3103)	(69, 37.2865)	(70, 37.269)	(71, 37.2368)	(72, 37.2193)	(73, 37.2004)	(74, 37.1755)	(75, 37.1693)	(76, 37.1454)	(77, 37.1588)	(78, 37.1292)	(79, 37.0867)	(80, 37.0879)	(81, 37.0784)	(82, 37.0564)	(83, 37.046)	(84, 37.0142)	(85, 37.0002)	(86, 36.9572)	(87, 36.9572)	(88, 36.9304)	(89, 36.9063)	(90, 36.8852)	(91, 36.8439)	(92, 36.8206)	(93, 36.7986)	(94, 36.7508)	(95, 36.6994)	(96, 36.6724)	(97, 36.6159)	(98, 36.5857)	(99, 36.542)	(100, 36.4401)	(101, 34.6323)
