Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR5413733	(1, 34.7087)	(2, 34.7373)	(3, 34.747)	(4, 34.7696)	(5, 34.7778)	(6, 39.6819)	(7, 39.6887)	(8, 39.7029)	(9, 39.7104)	(10, 39.7142)	(11, 39.6959)	(12, 39.6704)	(13, 39.6897)	(14, 39.6651)	(15, 39.6575)	(16, 39.63)	(17, 39.6597)	(18, 39.6509)	(19, 39.6801)	(20, 39.6883)	(21, 39.6908)	(22, 39.689)	(23, 39.699)	(24, 39.6833)	(25, 39.6544)	(26, 39.6299)	(27, 39.6412)	(28, 39.6557)	(29, 39.6177)	(30, 39.6135)	(31, 39.6315)	(32, 39.5965)	(33, 39.5859)	(34, 39.5659)	(35, 39.5397)	(36, 39.4726)	(37, 39.4375)	(38, 39.4119)	(39, 39.3626)	(40, 39.3557)	(41, 39.3057)	(42, 39.2726)	(43, 39.2183)	(44, 39.1462)	(45, 39.0962)	(46, 39.0387)	(47, 38.9771)	(48, 38.9344)	(49, 38.8767)	(50, 38.8187)	(51, 38.8171)	(52, 38.7819)	(53, 38.7595)	(54, 38.7468)	(55, 38.7191)	(56, 38.6791)	(57, 38.7155)	(58, 38.5472)	(59, 38.4097)	(60, 37.7588)	(61, 36.2702)	(62, 36.1536)	(63, 35.5161)	(64, 35.2344)	(65, 34.861)	(66, 33.5566)	(67, 33.3812)	(68, 31.3145)	(69, 30.9153)	(70, 29.9025)	(71, 24.8071)	(72, 24.2689)	(73, 23.7558)	(74, 23.704)	(75, 23.6362)	(76, 23.3958)	(77, 23.5311)	(78, 23.3842)	(79, 23.2767)	(80, 23.1522)	(81, 23.0088)	(82, 22.9689)	(83, 22.7746)	(84, 22.6049)	(85, 22.4472)	(86, 22.1704)	(87, 22.109)	(88, 21.9446)	(89, 21.81)	(90, 21.7101)	(91, 21.6105)	(92, 21.5128)	(93, 21.4033)	(94, 21.355)	(95, 21.2718)	(96, 21.1259)	(97, 21.0767)	(98, 21.0073)	(99, 20.9345)	(100, 20.8964)	(101, 20.1055)
SRR5413734	(1, 34.7043)	(2, 34.7269)	(3, 34.7471)	(4, 34.7695)	(5, 34.783)	(6, 39.6922)	(7, 39.6895)	(8, 39.694)	(9, 39.7145)	(10, 39.7019)	(11, 39.7011)	(12, 39.6885)	(13, 39.6916)	(14, 39.6798)	(15, 39.6617)	(16, 39.6624)	(17, 39.6145)	(18, 39.6549)	(19, 39.6671)	(20, 39.6764)	(21, 39.6867)	(22, 39.6735)	(23, 39.7079)	(24, 39.6742)	(25, 39.6219)	(26, 39.6313)	(27, 39.6214)	(28, 39.6413)	(29, 39.6187)	(30, 39.5996)	(31, 39.6186)	(32, 39.5722)	(33, 39.5725)	(34, 39.5422)	(35, 39.5191)	(36, 39.4615)	(37, 39.4055)	(38, 39.3925)	(39, 39.3455)	(40, 39.3131)	(41, 39.2607)	(42, 39.2092)	(43, 39.1294)	(44, 39.0309)	(45, 38.9664)	(46, 38.8901)	(47, 38.7857)	(48, 38.7321)	(49, 38.6795)	(50, 38.6043)	(51, 38.5789)	(52, 38.5478)	(53, 38.5219)	(54, 38.5059)	(55, 38.4778)	(56, 38.4698)	(57, 38.4734)	(58, 38.3519)	(59, 38.264)	(60, 37.844)	(61, 36.8161)	(62, 36.7252)	(63, 36.2286)	(64, 36.0023)	(65, 35.7002)	(66, 34.6986)	(67, 34.559)	(68, 33.0864)	(69, 32.7512)	(70, 31.9364)	(71, 28.0898)	(72, 27.7522)	(73, 27.3056)	(74, 27.2588)	(75, 27.2575)	(76, 27.0759)	(77, 27.1504)	(78, 27.0304)	(79, 26.9761)	(80, 26.8211)	(81, 26.7611)	(82, 26.7901)	(83, 26.647)	(84, 26.4971)	(85, 26.4397)	(86, 26.22)	(87, 26.1795)	(88, 26.0244)	(89, 25.9754)	(90, 25.865)	(91, 25.8216)	(92, 25.6979)	(93, 25.6247)	(94, 25.5869)	(95, 25.47)	(96, 25.3903)	(97, 25.3708)	(98, 25.2885)	(99, 25.1966)	(100, 25.1255)	(101, 24.1175)
SRR5413735	(1, 34.6647)	(2, 34.6877)	(3, 34.7015)	(4, 34.7329)	(5, 34.7376)	(6, 39.6265)	(7, 39.6414)	(8, 39.6564)	(9, 39.688)	(10, 39.6716)	(11, 39.6676)	(12, 39.6566)	(13, 39.66)	(14, 39.6287)	(15, 39.6004)	(16, 39.5986)	(17, 39.527)	(18, 39.6026)	(19, 39.6326)	(20, 39.6515)	(21, 39.6654)	(22, 39.631)	(23, 39.6573)	(24, 39.6224)	(25, 39.5305)	(26, 39.5582)	(27, 39.55)	(28, 39.5955)	(29, 39.5669)	(30, 39.5681)	(31, 39.6017)	(32, 39.5511)	(33, 39.5521)	(34, 39.508)	(35, 39.4928)	(36, 39.4207)	(37, 39.3504)	(38, 39.3666)	(39, 39.3125)	(40, 39.3155)	(41, 39.2789)	(42, 39.2519)	(43, 39.1839)	(44, 39.1136)	(45, 39.0708)	(46, 39.0128)	(47, 38.9455)	(48, 38.8908)	(49, 38.8235)	(50, 38.7625)	(51, 38.7381)	(52, 38.7105)	(53, 38.6745)	(54, 38.6906)	(55, 38.6547)	(56, 38.6229)	(57, 38.6558)	(58, 38.4211)	(59, 38.2276)	(60, 37.3849)	(61, 35.3774)	(62, 35.2155)	(63, 34.3145)	(64, 33.9521)	(65, 33.3937)	(66, 31.5938)	(67, 31.3868)	(68, 28.5664)	(69, 28.0128)	(70, 26.6272)	(71, 19.964)	(72, 19.3171)	(73, 18.6692)	(74, 18.6155)	(75, 18.5085)	(76, 18.2496)	(77, 18.4014)	(78, 18.2381)	(79, 18.1539)	(80, 18.0201)	(81, 17.838)	(82, 17.8362)	(83, 17.586)	(84, 17.4109)	(85, 17.2809)	(86, 16.968)	(87, 16.8385)	(88, 16.6845)	(89, 16.5609)	(90, 16.432)	(91, 16.3676)	(92, 16.1978)	(93, 16.1547)	(94, 16.0484)	(95, 15.9286)	(96, 15.7965)	(97, 15.7045)	(98, 15.6485)	(99, 15.5149)	(100, 15.4306)	(101, 14.933)
SRR5413736	(1, 34.5773)	(2, 34.6101)	(3, 34.6185)	(4, 34.6713)	(5, 34.6765)	(6, 39.5566)	(7, 39.5391)	(8, 39.5643)	(9, 39.6075)	(10, 39.5826)	(11, 39.5558)	(12, 39.5148)	(13, 39.5179)	(14, 39.4991)	(15, 39.5118)	(16, 39.4778)	(17, 39.4292)	(18, 39.4511)	(19, 39.5164)	(20, 39.524)	(21, 39.5512)	(22, 39.5145)	(23, 39.5682)	(24, 39.53)	(25, 39.47)	(26, 39.4427)	(27, 39.4374)	(28, 39.5014)	(29, 39.4667)	(30, 39.4612)	(31, 39.5061)	(32, 39.4731)	(33, 39.4724)	(34, 39.4526)	(35, 39.4409)	(36, 39.362)	(37, 39.2663)	(38, 39.276)	(39, 39.2554)	(40, 39.3204)	(41, 39.3174)	(42, 39.3189)	(43, 39.3035)	(44, 39.2541)	(45, 39.2456)	(46, 39.2311)	(47, 39.1462)	(48, 39.1361)	(49, 39.0666)	(50, 38.9657)	(51, 38.9949)	(52, 38.989)	(53, 38.941)	(54, 38.9341)	(55, 38.8859)	(56, 38.8544)	(57, 38.9471)	(58, 38.6065)	(59, 38.3858)	(60, 37.4289)	(61, 34.9764)	(62, 34.8004)	(63, 33.7748)	(64, 33.4236)	(65, 32.8623)	(66, 30.7672)	(67, 30.5322)	(68, 26.9118)	(69, 26.0644)	(70, 24.3152)	(71, 18.0756)	(72, 17.4671)	(73, 16.7907)	(74, 16.6725)	(75, 16.734)	(76, 16.3852)	(77, 16.6104)	(78, 16.378)	(79, 16.2989)	(80, 15.989)	(81, 15.87)	(82, 15.9824)	(83, 15.6991)	(84, 15.4431)	(85, 15.3573)	(86, 14.9431)	(87, 14.8848)	(88, 14.6825)	(89, 14.5824)	(90, 14.4559)	(91, 14.3797)	(92, 14.1626)	(93, 14.082)	(94, 14.0604)	(95, 13.8904)	(96, 13.7469)	(97, 13.7498)	(98, 13.6838)	(99, 13.5412)	(100, 13.4132)	(101, 12.7513)
SRR5413737	(1, 34.6415)	(2, 34.6575)	(3, 34.6882)	(4, 34.7226)	(5, 34.7323)	(6, 39.6182)	(7, 39.6188)	(8, 39.6395)	(9, 39.6584)	(10, 39.6214)	(11, 39.6341)	(12, 39.557)	(13, 39.5939)	(14, 39.5309)	(15, 39.568)	(16, 39.5482)	(17, 39.4359)	(18, 39.5239)	(19, 39.5566)	(20, 39.5702)	(21, 39.6009)	(22, 39.5513)	(23, 39.6019)	(24, 39.591)	(25, 39.5136)	(26, 39.5393)	(27, 39.5418)	(28, 39.5661)	(29, 39.565)	(30, 39.547)	(31, 39.5427)	(32, 39.5038)	(33, 39.5046)	(34, 39.5119)	(35, 39.5152)	(36, 39.4622)	(37, 39.4677)	(38, 39.4811)	(39, 39.4363)	(40, 39.4494)	(41, 39.4461)	(42, 39.4438)	(43, 39.4465)	(44, 39.424)	(45, 39.3985)	(46, 39.3661)	(47, 39.311)	(48, 39.3166)	(49, 39.2683)	(50, 39.1781)	(51, 39.2256)	(52, 39.2059)	(53, 39.1799)	(54, 39.1666)	(55, 39.1436)	(56, 39.1069)	(57, 39.1739)	(58, 38.9065)	(59, 38.8603)	(60, 38.2432)	(61, 36.7039)	(62, 36.5726)	(63, 35.7575)	(64, 35.4314)	(65, 34.9537)	(66, 33.2556)	(67, 33.0305)	(68, 30.1718)	(69, 29.6154)	(70, 28.2975)	(71, 22.0969)	(72, 21.4542)	(73, 20.6743)	(74, 20.5529)	(75, 20.6586)	(76, 20.3928)	(77, 20.5591)	(78, 20.3713)	(79, 20.1616)	(80, 20.2395)	(81, 20.1345)	(82, 19.6223)	(83, 19.4358)	(84, 19.4308)	(85, 19.1877)	(86, 19.1933)	(87, 19.0956)	(88, 18.8703)	(89, 18.7467)	(90, 18.6036)	(91, 18.518)	(92, 18.3375)	(93, 18.249)	(94, 18.2293)	(95, 18.1227)	(96, 17.9671)	(97, 17.9586)	(98, 17.8592)	(99, 17.7498)	(100, 17.6782)	(101, 16.8927)
SRR5413805	(1, 33.7267)	(2, 33.7259)	(3, 33.7284)	(4, 33.8246)	(5, 33.7797)	(6, 37.9324)	(7, 37.8112)	(8, 37.7724)	(9, 37.7902)	(10, 37.7109)	(11, 37.7181)	(12, 37.657)	(13, 37.6418)	(14, 37.6367)	(15, 37.6209)	(16, 37.6293)	(17, 37.6138)	(18, 37.6505)	(19, 37.641)	(20, 37.6369)	(21, 37.6438)	(22, 37.6142)	(23, 37.6422)	(24, 37.6113)	(25, 37.5887)	(26, 37.562)	(27, 37.5893)	(28, 37.6119)	(29, 37.6145)	(30, 37.5977)	(31, 37.5985)	(32, 37.5843)	(33, 37.5681)	(34, 37.5593)	(35, 37.5334)	(36, 37.536)	(37, 37.5161)	(38, 37.5149)	(39, 37.4926)	(40, 37.4617)	(41, 37.4204)	(42, 37.3825)	(43, 37.3123)	(44, 37.2655)	(45, 37.2076)	(46, 37.1261)	(47, 37.0385)	(48, 36.9671)	(49, 36.9352)	(50, 36.8978)	(51, 36.8431)	(52, 36.8219)	(53, 36.7902)	(54, 36.7822)	(55, 36.7563)	(56, 36.7649)	(57, 36.7638)	(58, 36.744)	(59, 36.7164)	(60, 36.6691)	(61, 36.5893)	(62, 36.5841)	(63, 36.5989)	(64, 36.5801)	(65, 36.445)	(66, 36.4613)	(67, 36.462)	(68, 36.4239)	(69, 36.3994)	(70, 36.3802)	(71, 36.3587)	(72, 36.3275)	(73, 36.3029)	(74, 36.2802)	(75, 36.2837)	(76, 36.2492)	(77, 36.2569)	(78, 36.2301)	(79, 36.1604)	(80, 36.1586)	(81, 36.1463)	(82, 36.1312)	(83, 36.1365)	(84, 36.1149)	(85, 36.1141)	(86, 36.076)	(87, 36.0696)	(88, 36.0382)	(89, 36.0199)	(90, 35.9988)	(91, 35.9509)	(92, 35.9125)	(93, 35.8927)	(94, 35.851)	(95, 35.8192)	(96, 35.8005)	(97, 35.755)	(98, 35.7271)	(99, 35.6898)	(100, 35.5905)	(101, 33.8545)
SRR5413806	(1, 33.7239)	(2, 33.733)	(3, 33.7222)	(4, 33.8244)	(5, 33.7818)	(6, 37.9334)	(7, 37.818)	(8, 37.785)	(9, 37.7948)	(10, 37.6926)	(11, 37.732)	(12, 37.6575)	(13, 37.6591)	(14, 37.6441)	(15, 37.6158)	(16, 37.6369)	(17, 37.5824)	(18, 37.6461)	(19, 37.6412)	(20, 37.6379)	(21, 37.6471)	(22, 37.6222)	(23, 37.6407)	(24, 37.6202)	(25, 37.6032)	(26, 37.5787)	(27, 37.6061)	(28, 37.6112)	(29, 37.6249)	(30, 37.609)	(31, 37.6035)	(32, 37.5846)	(33, 37.5676)	(34, 37.5576)	(35, 37.5393)	(36, 37.537)	(37, 37.511)	(38, 37.4992)	(39, 37.4731)	(40, 37.4558)	(41, 37.4215)	(42, 37.3831)	(43, 37.3222)	(44, 37.2704)	(45, 37.2171)	(46, 37.1392)	(47, 37.0622)	(48, 37.002)	(49, 36.9675)	(50, 36.9385)	(51, 36.8791)	(52, 36.8518)	(53, 36.8345)	(54, 36.8289)	(55, 36.8032)	(56, 36.8075)	(57, 36.8065)	(58, 36.7937)	(59, 36.7713)	(60, 36.7288)	(61, 36.6336)	(62, 36.6302)	(63, 36.654)	(64, 36.6323)	(65, 36.5033)	(66, 36.5132)	(67, 36.5201)	(68, 36.4751)	(69, 36.4537)	(70, 36.4413)	(71, 36.4142)	(72, 36.3892)	(73, 36.3749)	(74, 36.3585)	(75, 36.3625)	(76, 36.3307)	(77, 36.3387)	(78, 36.3027)	(79, 36.266)	(80, 36.2647)	(81, 36.2568)	(82, 36.2414)	(83, 36.2246)	(84, 36.1955)	(85, 36.1814)	(86, 36.1456)	(87, 36.1508)	(88, 36.1148)	(89, 36.0922)	(90, 36.0813)	(91, 36.0387)	(92, 36.0071)	(93, 35.9914)	(94, 35.9425)	(95, 35.9029)	(96, 35.8727)	(97, 35.8119)	(98, 35.7779)	(99, 35.7329)	(100, 35.6479)	(101, 33.9068)
SRR5413807	(1, 33.6856)	(2, 33.6894)	(3, 33.6847)	(4, 33.7912)	(5, 33.7503)	(6, 37.8696)	(7, 37.7517)	(8, 37.7159)	(9, 37.7257)	(10, 37.6468)	(11, 37.6485)	(12, 37.5839)	(13, 37.5888)	(14, 37.5749)	(15, 37.5552)	(16, 37.5572)	(17, 37.5359)	(18, 37.5767)	(19, 37.5779)	(20, 37.5635)	(21, 37.5673)	(22, 37.5401)	(23, 37.5671)	(24, 37.5555)	(25, 37.5292)	(26, 37.5009)	(27, 37.5228)	(28, 37.5357)	(29, 37.5467)	(30, 37.5362)	(31, 37.5314)	(32, 37.5132)	(33, 37.4949)	(34, 37.4874)	(35, 37.4768)	(36, 37.4755)	(37, 37.4319)	(38, 37.4319)	(39, 37.411)	(40, 37.3976)	(41, 37.3655)	(42, 37.3325)	(43, 37.2907)	(44, 37.2472)	(45, 37.1988)	(46, 37.1348)	(47, 37.0693)	(48, 37.0285)	(49, 36.9955)	(50, 36.9642)	(51, 36.9128)	(52, 36.8874)	(53, 36.8751)	(54, 36.8705)	(55, 36.843)	(56, 36.8467)	(57, 36.8412)	(58, 36.8304)	(59, 36.7989)	(60, 36.7646)	(61, 36.6809)	(62, 36.6795)	(63, 36.6967)	(64, 36.6775)	(65, 36.5501)	(66, 36.574)	(67, 36.5793)	(68, 36.5491)	(69, 36.5301)	(70, 36.5224)	(71, 36.4915)	(72, 36.4668)	(73, 36.4584)	(74, 36.4447)	(75, 36.4442)	(76, 36.4041)	(77, 36.4249)	(78, 36.4033)	(79, 36.3581)	(80, 36.3601)	(81, 36.3511)	(82, 36.3318)	(83, 36.3193)	(84, 36.29)	(85, 36.2788)	(86, 36.2404)	(87, 36.2458)	(88, 36.2079)	(89, 36.1877)	(90, 36.1786)	(91, 36.1275)	(92, 36.1036)	(93, 36.0877)	(94, 36.0301)	(95, 35.9939)	(96, 35.9519)	(97, 35.9041)	(98, 35.8686)	(99, 35.8236)	(100, 35.7271)	(101, 33.9468)
SRR5413808	(1, 33.7854)	(2, 33.7919)	(3, 33.7877)	(4, 33.8836)	(5, 33.842)	(6, 38.0359)	(7, 37.922)	(8, 37.893)	(9, 37.8964)	(10, 37.7992)	(11, 37.8366)	(12, 37.7788)	(13, 37.7729)	(14, 37.7591)	(15, 37.7478)	(16, 37.7627)	(17, 37.7097)	(18, 37.7679)	(19, 37.7767)	(20, 37.7667)	(21, 37.7713)	(22, 37.739)	(23, 37.7665)	(24, 37.7484)	(25, 37.7266)	(26, 37.6994)	(27, 37.726)	(28, 37.7409)	(29, 37.7442)	(30, 37.7305)	(31, 37.7228)	(32, 37.7164)	(33, 37.6978)	(34, 37.6835)	(35, 37.6704)	(36, 37.6676)	(37, 37.6366)	(38, 37.6265)	(39, 37.6049)	(40, 37.5776)	(41, 37.5411)	(42, 37.5023)	(43, 37.4463)	(44, 37.4012)	(45, 37.3475)	(46, 37.2637)	(47, 37.1846)	(48, 37.1126)	(49, 37.0837)	(50, 37.0451)	(51, 36.9863)	(52, 36.9566)	(53, 36.953)	(54, 36.9396)	(55, 36.9174)	(56, 36.9149)	(57, 36.9197)	(58, 36.8963)	(59, 36.8784)	(60, 36.8412)	(61, 36.7472)	(62, 36.7345)	(63, 36.7594)	(64, 36.7425)	(65, 36.6178)	(66, 36.6338)	(67, 36.6436)	(68, 36.5987)	(69, 36.5792)	(70, 36.5636)	(71, 36.5372)	(72, 36.5118)	(73, 36.4943)	(74, 36.4799)	(75, 36.4723)	(76, 36.4456)	(77, 36.4507)	(78, 36.4331)	(79, 36.3904)	(80, 36.3893)	(81, 36.3766)	(82, 36.353)	(83, 36.3324)	(84, 36.3122)	(85, 36.2905)	(86, 36.2553)	(87, 36.2492)	(88, 36.2167)	(89, 36.1969)	(90, 36.1858)	(91, 36.14)	(92, 36.118)	(93, 36.0963)	(94, 36.0444)	(95, 36.0088)	(96, 35.981)	(97, 35.921)	(98, 35.8921)	(99, 35.8539)	(100, 35.7619)	(101, 34.0279)
SRR5413809	(1, 33.755)	(2, 33.7586)	(3, 33.7531)	(4, 33.8492)	(5, 33.8068)	(6, 37.9805)	(7, 37.8675)	(8, 37.8402)	(9, 37.8396)	(10, 37.7735)	(11, 37.7615)	(12, 37.706)	(13, 37.701)	(14, 37.7027)	(15, 37.6696)	(16, 37.6853)	(17, 37.6709)	(18, 37.7134)	(19, 37.7074)	(20, 37.6988)	(21, 37.7029)	(22, 37.6747)	(23, 37.6973)	(24, 37.6768)	(25, 37.6586)	(26, 37.6243)	(27, 37.6565)	(28, 37.6637)	(29, 37.6814)	(30, 37.6603)	(31, 37.652)	(32, 37.6394)	(33, 37.6286)	(34, 37.6199)	(35, 37.5913)	(36, 37.5907)	(37, 37.5574)	(38, 37.545)	(39, 37.5257)	(40, 37.4972)	(41, 37.465)	(42, 37.4221)	(43, 37.3654)	(44, 37.3169)	(45, 37.2655)	(46, 37.1824)	(47, 37.0965)	(48, 37.0268)	(49, 36.9882)	(50, 36.9428)	(51, 36.8927)	(52, 36.8653)	(53, 36.8492)	(54, 36.8389)	(55, 36.8118)	(56, 36.8178)	(57, 36.8143)	(58, 36.8023)	(59, 36.7753)	(60, 36.7289)	(61, 36.6361)	(62, 36.6268)	(63, 36.6462)	(64, 36.6266)	(65, 36.4979)	(66, 36.513)	(67, 36.5112)	(68, 36.4663)	(69, 36.4418)	(70, 36.426)	(71, 36.3959)	(72, 36.3789)	(73, 36.3612)	(74, 36.3366)	(75, 36.3308)	(76, 36.3066)	(77, 36.3203)	(78, 36.2909)	(79, 36.25)	(80, 36.2512)	(81, 36.2419)	(82, 36.219)	(83, 36.2095)	(84, 36.1788)	(85, 36.165)	(86, 36.1236)	(87, 36.1237)	(88, 36.0975)	(89, 36.0739)	(90, 36.0534)	(91, 36.0132)	(92, 35.9904)	(93, 35.9682)	(94, 35.9216)	(95, 35.8717)	(96, 35.8451)	(97, 35.7903)	(98, 35.7609)	(99, 35.7182)	(100, 35.6189)	(101, 33.8538)
