.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR5413733	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR5413733_cleaned	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5413734	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR5413734_cleaned	1	0.25	1	1	0.25	1	1	0.5	0.25	0.25	1
SRR5413735	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR5413735_cleaned	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR5413736	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR5413736_cleaned	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR5413737	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR5413737_cleaned	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5413805	1	1	1	1	0.5	0.5	1	1	0.25	0.25	0.5
SRR5413805_cleaned	1	1	1	1	0.5	0.5	1	1	0.25	0.25	0.5
SRR5413806	1	1	1	1	0.5	0.5	1	1	0.25	0.5	0.5
SRR5413806_cleaned	1	1	1	1	0.5	0.5	1	1	0.25	0.5	0.5
SRR5413807	1	1	1	1	0.5	0.5	1	1	0.25	0.25	0.5
SRR5413807_cleaned	1	1	1	1	0.5	0.5	1	1	0.25	0.25	0.5
SRR5413808	1	1	1	1	0.5	0.25	1	1	0.25	0.5	0.5
SRR5413808_cleaned	1	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
SRR5413809	1	1	1	1	0.5	0.5	1	1	0.25	0.5	0.5
SRR5413809_cleaned	1	1	1	1	0.5	0.5	1	1	0.25	0.5	0.5
