Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR5413733 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0013051763293220914)	(6, 0.0013051763293220914)	(7, 0.0013051763293220914)	(8, 0.0013051763293220914)	(9, 0.0013051763293220914)	(10, 0.0039155289879662745)	(12, 0.005220705317288366)	(14, 0.005220705317288366)	(16, 0.005220705317288366)	(18, 0.009788822469915685)	(20, 0.015662115951865098)	(22, 0.028061291080424967)	(24, 0.0385027017150017)	(26, 0.08092093241796966)	(28, 0.16640998198856666)	(30, 0.37067007752747394)	(32, 0.8614163773525803)	(34, 1.7130439322352449)	(36, 2.8622516902033466)	(38, 3.9729567464564464)	(40, 4.966848521235219)	(42, 5.950951473544076)	(44, 7.194131927223368)	(46, 8.514970372497324)	(48, 9.620454723433134)	(50, 10.564097209533008)	(52, 11.471194758411862)	(54, 12.41222689185309)	(56, 13.455062778981441)	(58, 14.403273382233941)	(60, 15.335169281369913)	(62, 16.173092484794697)	(64, 16.994048395938293)	(66, 17.905061473805112)	(68, 18.811506434519302)	(70, 19.710772925422226)	(72, 20.550653893340993)	(74, 21.336370043592886)	(76, 22.14753713226657)	(78, 22.917591166566602)	(80, 23.675246025738076)	(82, 24.414628416299045)	(84, 25.085489049570597)	(86, 25.76744368164139)	(88, 26.468323370487354)	(90, 26.968858492782374)
SRR5413733_cleaned - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0014459434057750979)	(20, 0.0014459434057750979)	(22, 0.0028918868115501957)	(24, 0.0028918868115501957)	(26, 0.0028918868115501957)	(28, 0.003614858514437745)	(30, 0.004337830217325294)	(32, 0.012290518949088333)	(34, 0.021689151086626467)	(36, 0.031087783224164604)	(38, 0.036871556847264994)	(40, 0.04627018898480313)	(42, 0.05928367963677901)	(44, 0.07735797220896774)	(46, 0.09470929307826892)	(48, 0.1091687271360199)	(50, 0.11856735927355803)	(52, 0.13519570843997164)	(54, 0.1503781142006102)	(56, 0.16483754825836117)	(58, 0.17929698231611216)	(60, 0.18941858615653784)	(62, 0.19954018999696352)	(64, 0.2125536806489394)	(66, 0.22773608640957793)	(68, 0.23351986003267833)	(70, 0.2421955204673289)	(72, 0.2494252374962044)	(74, 0.2552090111193048)	(76, 0.26026981303951763)	(78, 0.2638846715539554)	(80, 0.2653306149597305)	(82, 0.2674995300683931)	(84, 0.26822250177128065)	(86, 0.2689454734741682)	(88, 0.2689454734741682)	(90, 0.2689454734741682)
SRR5413734 - nextera_transposase_sequence	(1, 0.0010203248714390663)	(2, 0.0010203248714390663)	(3, 0.0010203248714390663)	(4, 0.0020406497428781326)	(5, 0.0020406497428781326)	(6, 0.0030609746143171984)	(7, 0.0030609746143171984)	(8, 0.0030609746143171984)	(9, 0.005101624357195331)	(10, 0.009693086278671128)	(12, 0.020406497428781326)	(14, 0.021936984735939923)	(16, 0.022447147171659455)	(18, 0.022447147171659455)	(20, 0.025508121785976653)	(22, 0.03418088319320872)	(24, 0.05203656844339237)	(26, 0.0892784262509183)	(28, 0.15661986776589665)	(30, 0.354052730389356)	(32, 0.7927924251081544)	(34, 1.5544649416374172)	(36, 2.593155660762387)	(38, 3.5374663292792423)	(40, 4.3986205207738145)	(42, 5.3164027426332545)	(44, 6.409680842380213)	(46, 7.6264182515713)	(48, 8.690106930046525)	(50, 9.555342421026854)	(52, 10.427720186107257)	(54, 11.411823524610236)	(56, 12.53111990857889)	(58, 13.616235409354339)	(60, 14.591665986450085)	(62, 15.500775446902294)	(64, 16.403762958125867)	(66, 17.43123010366501)	(68, 18.438800914211086)	(70, 19.42188392784262)	(72, 20.34884907354502)	(74, 21.25081625989715)	(76, 22.155844420863602)	(78, 23.090972165537508)	(80, 24.018957636111338)	(82, 24.946432944249448)	(84, 25.725961146028894)	(86, 26.580993388294832)	(88, 27.427352869153538)	(90, 28.072198187903027)
SRR5413734_cleaned - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0016633584315638896)	(32, 0.005544528105212965)	(34, 0.014970225884075008)	(36, 0.02273256523137316)	(38, 0.0321582630102352)	(40, 0.047128488894310205)	(42, 0.05932645072577873)	(44, 0.06875214850464076)	(46, 0.0809501103361093)	(48, 0.09425697778862041)	(50, 0.10922720367269542)	(52, 0.12087071269364263)	(54, 0.13362312733563247)	(56, 0.14249437230397322)	(58, 0.15469233413544173)	(60, 0.1641180319143038)	(62, 0.17853380498785748)	(64, 0.18463278590359175)	(66, 0.1929495780614112)	(68, 0.20237527584027323)	(70, 0.21346433205069915)	(72, 0.21900886015591214)	(74, 0.22233557701903991)	(76, 0.22898901074529548)	(78, 0.23508799166102973)	(80, 0.2400780669557214)	(82, 0.2406325197662427)	(84, 0.2406325197662427)	(86, 0.2406325197662427)	(88, 0.2406325197662427)	(90, 0.2406325197662427)
SRR5413735 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0036191889397586)	(12, 0.0054287834096379)	(14, 0.0054287834096379)	(16, 0.0072383778795172)	(18, 0.0072383778795172)	(20, 0.0126671612891551)	(22, 0.0235247281084309)	(24, 0.036191889397586004)	(26, 0.05971661750601691)	(28, 0.11129005989757695)	(30, 0.2587720091927399)	(32, 0.540163949258971)	(34, 0.9726570275601237)	(36, 1.5263929353431895)	(38, 2.0602233039575832)	(40, 2.549718608059934)	(42, 3.0491666817466205)	(44, 3.6752863683248584)	(46, 4.363837064113932)	(48, 4.915763377427119)	(50, 5.374495575541522)	(52, 5.834132570890864)	(54, 6.35801016992092)	(56, 6.920794050053383)	(58, 7.453719621432837)	(60, 7.933262155950851)	(62, 8.423662257288141)	(64, 8.847107363239898)	(66, 9.30945875029406)	(68, 9.814335607390383)	(70, 10.295687736378277)	(72, 10.827708510522791)	(74, 11.29458388375165)	(76, 11.771412026564846)	(78, 12.204809902100939)	(80, 12.645446155516549)	(82, 13.078844031052641)	(84, 13.496860353594759)	(86, 13.895875934203145)	(88, 14.26865239499828)	(90, 14.55637791570909)
SRR5413735_cleaned - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.003924261748258609)	(12, 0.005886392622387914)	(14, 0.005886392622387914)	(16, 0.007848523496517218)	(18, 0.007848523496517218)	(20, 0.013734916118905132)	(22, 0.025507701363680958)	(24, 0.03924261748258609)	(26, 0.06475031884626704)	(28, 0.12067104875895224)	(30, 0.28058471500049054)	(32, 0.5856960659275974)	(34, 1.0546453448445012)	(36, 1.653095261453939)	(38, 2.227999607573825)	(40, 2.758756009025802)	(42, 3.30030413028549)	(44, 3.9772392818601006)	(46, 4.7218679485921715)	(48, 5.320317865201609)	(50, 5.814774845482194)	(52, 6.308250760325714)	(54, 6.873344452074954)	(56, 7.480623957617974)	(58, 8.052585107426665)	(60, 8.566663396448543)	(62, 9.094476601589326)	(64, 9.54674776807613)	(66, 10.047091140979104)	(68, 10.59452565486118)	(70, 11.116452467379574)	(72, 11.69331894437359)	(74, 12.19954870989895)	(76, 12.716570195232022)	(78, 13.185519474148926)	(80, 13.662317276562348)	(82, 14.132247620916315)	(84, 14.585499852840183)	(86, 15.018149710585696)	(88, 15.422348670656334)	(90, 15.734327479642893)
SRR5413736 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0012720704218185518)	(18, 0.0025441408436371036)	(20, 0.0025441408436371036)	(22, 0.0038162112654556556)	(24, 0.011448633796366967)	(26, 0.025441408436371035)	(28, 0.09922149290184704)	(30, 0.2505978730982547)	(32, 0.5011957461965094)	(34, 0.7810512389965909)	(36, 1.155039943011245)	(38, 1.6638681117386658)	(40, 2.166335928356994)	(42, 2.5772146746043862)	(44, 3.0402483081463387)	(46, 3.5045540121101104)	(48, 3.9306976034193255)	(50, 4.358113265150358)	(52, 4.702844349463186)	(54, 5.0590240675723805)	(56, 5.438101053274309)	(58, 5.79809698264896)	(60, 6.184806390881799)	(62, 6.5219050526637155)	(64, 6.869180277820179)	(66, 7.227904136773011)	(68, 7.591716277413118)	(70, 7.965704981427772)	(72, 8.357502671347886)	(74, 8.727675164097086)	(76, 9.132193558235384)	(78, 9.521447107311861)	(80, 9.876354754999237)	(82, 10.278329008293898)	(84, 10.601434895435812)	(86, 10.920724571312267)	(88, 11.215844909174171)	(90, 11.474075204803338)
SRR5413736_cleaned - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0013814826071339762)	(18, 0.0027629652142679524)	(20, 0.0027629652142679524)	(22, 0.004144447821401928)	(24, 0.012433343464205784)	(26, 0.027629652142679522)	(28, 0.10775564335645013)	(30, 0.2721520736053933)	(32, 0.5443041472107866)	(34, 0.8482303207802613)	(36, 1.2543862072776504)	(38, 1.805597767524107)	(40, 2.347138949520626)	(42, 2.7933578316249)	(44, 3.294836018014533)	(46, 3.7976956870113003)	(48, 4.260492360401182)	(50, 4.72190755118393)	(52, 5.09352637250297)	(54, 5.480341502500483)	(56, 5.892023319426409)	(58, 6.282982897245324)	(60, 6.7029536098140525)	(62, 7.069046500704556)	(64, 7.446191252452131)	(66, 7.835769347663913)	(68, 8.230873373304231)	(70, 8.637029259801619)	(72, 9.062525902798885)	(74, 9.464537341474871)	(76, 9.903848810543476)	(78, 10.326582488326473)	(80, 10.712016135716851)	(82, 11.148564639571187)	(84, 11.499461221783218)	(86, 11.846213356173845)	(88, 12.166717321028928)	(90, 12.447158290277125)
SRR5413737 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0012713911562031175)	(3, 0.0012713911562031175)	(4, 0.0012713911562031175)	(5, 0.002542782312406235)	(6, 0.002542782312406235)	(7, 0.002542782312406235)	(8, 0.002542782312406235)	(9, 0.002542782312406235)	(10, 0.002542782312406235)	(12, 0.002542782312406235)	(14, 0.002542782312406235)	(16, 0.002542782312406235)	(18, 0.0031784778905077937)	(20, 0.009535433671523381)	(22, 0.020977954077351438)	(24, 0.027334909858367024)	(26, 0.059119688763444964)	(28, 0.17418058839982709)	(30, 0.41828769039082564)	(32, 0.8956950695450963)	(34, 1.5549113840364126)	(36, 2.363516159381595)	(38, 3.392707300328019)	(40, 4.393292140259872)	(42, 5.30551529483561)	(44, 6.270501182393775)	(46, 7.156025122689247)	(48, 7.962722811300125)	(50, 8.733821547537316)	(52, 9.419737076308898)	(54, 10.084674651003127)	(56, 10.825259999491443)	(58, 11.545503089480508)	(60, 12.205990795128029)	(62, 12.855671675947821)	(64, 13.530144684313576)	(66, 14.188089607648688)	(68, 14.867648180639256)	(70, 15.54275688458311)	(72, 16.18226663615328)	(74, 16.781727566303047)	(76, 17.34940371754774)	(78, 17.91199430416762)	(80, 18.45424263228825)	(82, 18.969791746128614)	(84, 19.466905688204033)	(86, 19.987540366669208)	(88, 20.461769267932972)	(90, 20.834286876700485)
SRR5413737_cleaned - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0006927990467085118)	(22, 0.0013855980934170235)	(24, 0.002771196186834047)	(26, 0.004156794280251071)	(28, 0.005542392373668094)	(30, 0.006927990467085117)	(32, 0.013855980934170235)	(34, 0.02424796663479791)	(36, 0.03186875614859154)	(38, 0.044339138989344745)	(40, 0.05195992850313838)	(42, 0.06581590943730861)	(44, 0.08729267988527248)	(46, 0.10322705795956824)	(48, 0.11639023984702998)	(50, 0.12747502459436616)	(52, 0.13855980934170237)	(54, 0.14479500076207896)	(56, 0.16350057502320875)	(58, 0.175970957863962)	(60, 0.18289894833104708)	(62, 0.1884413407047152)	(64, 0.19259813498496625)	(66, 0.2009117235454684)	(68, 0.21061091019938755)	(70, 0.21476770447963864)	(72, 0.22515969018026633)	(74, 0.22654528827368334)	(76, 0.22862368541380887)	(78, 0.2320876806473514)	(80, 0.2348588768341855)	(82, 0.23555167588089398)	(84, 0.23555167588089398)	(86, 0.2362444749276025)	(88, 0.23832287206772804)	(90, 0.23832287206772804)
