Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR5413733	(1, 0.03915528987966274)	(2, 0.023493173927797643)	(3, 0.011746586963898822)	(4, 0.0)	(5, 0.0)	(6, 0.002610352658644183)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0006525881646610457)	(30, 0.0006525881646610457)	(32, 0.0032629408233052284)	(34, 0.002610352658644183)	(36, 0.0032629408233052284)	(38, 0.0006525881646610457)	(40, 0.0019577644939831372)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0013051763293220914)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.002610352658644183)	(70, 0.0)	(72, 0.0039155289879662745)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.002610352658644183)	(84, 0.0)	(86, 0.0006525881646610457)	(88, 0.0006525881646610457)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR5413733_cleaned	(1, 0.04193235876747784)	(2, 0.024581037898176665)	(3, 0.011567547246200783)	(4, 0.0)	(5, 0.0)	(6, 0.0028918868115501957)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.002168915108662647)	(34, 0.0014459434057750979)	(36, 0.0021767838743850586)	(38, 0.0)	(40, 0.0014859282593836368)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0008120442401702044)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0017666908114410895)	(70, 0.0)	(72, 0.00361981122684452)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0019144251938355509)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR5413734	(1, 0.0540772181862705)	(2, 0.022447147171659458)	(3, 0.005101624357195331)	(4, 0.0)	(5, 0.0)	(6, 0.005101624357195331)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.000510162435719533)	(34, 0.001020324871439066)	(36, 0.001020324871439066)	(38, 0.0)	(40, 0.000510162435719533)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.000510162435719533)	(56, 0.000510162435719533)	(58, 0.000510162435719533)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.000510162435719533)	(70, 0.0)	(72, 0.0015304873071585992)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0025508121785976657)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR5413734_cleaned	(1, 0.0487918473258741)	(2, 0.02217811242085186)	(3, 0.005544528105212965)	(4, 0.0)	(5, 0.0)	(6, 0.004435622484170372)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0006156839324964136)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0006736229462920426)	(70, 0.0)	(72, 0.0020738999688915006)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0036903909600183044)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR5413735	(1, 0.038001483867465304)	(2, 0.0162863502289137)	(3, 0.0126671612891551)	(4, 0.0)	(5, 0.0)	(6, 0.0018095944698793)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.00090479723493965)	(32, 0.0036191889397586)	(34, 0.0018095944698793)	(36, 0.0027143917048189498)	(38, 0.00090479723493965)	(40, 0.0027143917048189498)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0027143917048189498)	(70, 0.0)	(72, 0.0027143917048189498)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0036191889397586)	(84, 0.0)	(86, 0.00090479723493965)	(88, 0.00090479723493965)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR5413735_cleaned	(1, 0.037280486608456787)	(2, 0.01765917786716374)	(3, 0.01373491611890513)	(4, 0.0)	(5, 0.0)	(6, 0.0019621308741293044)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0009810654370646522)	(32, 0.0019621308741293044)	(34, 0.0)	(36, 0.0009810654370646522)	(38, 0.0)	(40, 0.0009810654370646522)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0009810654370646522)	(70, 0.0)	(72, 0.0019621308741293044)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0029431963111939564)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR5413736	(1, 0.03816211265455655)	(2, 0.007632422530911312)	(3, 0.022897267592733934)	(4, 0.0)	(5, 0.0)	(6, 0.0025441408436371036)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0012720704218185518)	(30, 0.0025441408436371036)	(32, 0.0025441408436371036)	(34, 0.0025441408436371036)	(36, 0.003816211265455656)	(38, 0.0012720704218185518)	(40, 0.0012720704218185518)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0012720704218185518)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.003816211265455656)	(70, 0.0)	(72, 0.0012720704218185518)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.005088281687274207)	(84, 0.0)	(86, 0.0012720704218185518)	(88, 0.0012720704218185518)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR5413736_cleaned	(1, 0.03591854778548338)	(2, 0.008288895642803856)	(3, 0.02486668692841157)	(4, 0.0)	(5, 0.0)	(6, 0.0027629652142679524)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0013814826071339762)	(38, 0.0)	(40, 0.0013814826071339762)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0013814826071339762)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0013814826071339762)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.004144447821401928)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR5413737	(1, 0.04449869046710911)	(2, 0.017799476186843646)	(3, 0.0063569557810155865)	(4, 0.0)	(5, 0.0)	(6, 0.0038141734686093524)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0006356955781015587)	(32, 0.0012713911562031175)	(34, 0.0012713911562031175)	(36, 0.0006356955781015587)	(38, 0.0006356955781015587)	(40, 0.0006356955781015587)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0012713911562031175)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0031784778905077932)	(70, 0.0)	(72, 0.0038141734686093524)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.004449869046710912)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR5413737_cleaned	(1, 0.04433913898934475)	(2, 0.019398373307838328)	(3, 0.006927990467085117)	(4, 0.0)	(5, 0.0)	(6, 0.00415679428025107)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0015164611861759399)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.004021555537681976)	(70, 0.0)	(72, 0.004909220333990624)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.005946414312169762)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
