Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR5413733	(1, 34.70873685034848)	(2, 34.737254953144166)	(3, 34.74704377561409)	(4, 34.76961027434807)	(5, 34.7778198334595)	(6, 39.681915476780915)	(7, 39.688741548983266)	(8, 39.702915763919705)	(9, 39.71044663133989)	(10, 39.70507583074473)	(12, 39.68003602286669)	(14, 39.66130021665927)	(16, 39.64484846902816)	(18, 39.66548330679475)	(20, 39.689576861834034)	(22, 39.69399488370879)	(24, 39.668844135842754)	(26, 39.63553603591845)	(28, 39.63667806520661)	(30, 39.62251690203347)	(32, 39.59121877365632)	(34, 39.55280090840273)	(36, 39.4550562530998)	(38, 39.3872653945548)	(40, 39.330679474797044)	(42, 39.24540577932079)	(44, 39.121185622177556)	(46, 39.00788979091075)	(48, 38.9055639666919)	(50, 38.81787569500639)	(52, 38.77070009658305)	(54, 38.73296744890234)	(56, 38.69726435041374)	(58, 38.47842543527631)	(60, 37.01448745725548)	(62, 35.83488214257746)	(64, 35.04768461719178)	(66, 33.46891069983555)	(68, 31.11490119815187)	(70, 27.354805659244562)	(72, 24.012333916312095)	(74, 23.670090579237254)	(76, 23.463448536897335)	(78, 23.33043801717612)	(80, 23.080509801874236)	(82, 22.871720744472576)	(84, 22.52604479365162)	(86, 22.139732177817223)	(88, 21.877293847398782)	(90, 21.660288705004046)	(92, 21.458032055130648)	(94, 21.31339894019682)	(96, 21.10129473491869)	(98, 20.970881516092824)	(100, 20.500959304602052)
SRR5413733_cleaned	(1, 34.703133359360315)	(2, 34.734683844474326)	(3, 34.743402883211154)	(4, 34.76967567489408)	(5, 34.77794647117512)	(6, 39.68208042337223)	(7, 39.68799433190185)	(8, 39.700646336702384)	(9, 39.70838213392328)	(10, 39.70233086077011)	(12, 39.67694732428173)	(14, 39.66014546190662)	(16, 39.63836955421565)	(18, 39.6593140444483)	(20, 39.68623751066383)	(22, 39.68740872482251)	(24, 39.66708599025434)	(26, 39.64125421131017)	(28, 39.65183128732342)	(30, 39.643170086322826)	(32, 39.62567417111294)	(34, 39.606703393629175)	(36, 39.5323438228054)	(38, 39.502370302081346)	(40, 39.501126005091)	(42, 39.46614023665853)	(44, 39.39461106902602)	(46, 39.32276495651012)	(48, 39.26791711554654)	(50, 39.20237019629229)	(52, 39.170838208567496)	(54, 39.16484939785313)	(56, 39.15805189250027)	(58, 38.98860203586428)	(60, 38.56647701942488)	(62, 37.77507702924797)	(64, 36.74013626704621)	(66, 34.614092752076154)	(68, 31.372738256268136)	(70, 26.128169309568737)	(72, 21.535052112926195)	(74, 21.081243414117303)	(76, 20.596221170754163)	(78, 20.212405575626953)	(80, 19.64013298689602)	(82, 19.135280141874357)	(84, 18.450426546247048)	(86, 17.693146677656088)	(88, 17.10525898938698)	(90, 16.572135730060474)	(92, 16.032535098799094)	(94, 15.638294625799535)	(96, 15.149794118166476)	(98, 14.948672529916994)	(100, 14.640975469094354)
SRR5413734	(1, 34.704279242510815)	(2, 34.726889641661906)	(3, 34.747061464370255)	(4, 34.76951881479063)	(5, 34.7830381193372)	(6, 39.692239409027835)	(7, 39.68950493837238)	(8, 39.693953554811856)	(9, 39.714451881479064)	(10, 39.7015039588605)	(12, 39.69003040568117)	(14, 39.67074626561097)	(16, 39.638427475308134)	(18, 39.661007264713085)	(20, 39.681536201126434)	(22, 39.690724226593744)	(24, 39.64805424047017)	(26, 39.62635193045466)	(28, 39.63001999836748)	(30, 39.60912884662477)	(32, 39.57236143988246)	(34, 39.53063525426496)	(36, 39.43347481838217)	(38, 39.369010693004654)	(40, 39.286864337605095)	(42, 39.169312709166604)	(44, 38.99863276467227)	(46, 38.83788568280141)	(48, 38.70577912007183)	(50, 38.59157415721165)	(52, 38.534849195984)	(54, 38.491868010774624)	(56, 38.47157374908171)	(58, 38.30792894457595)	(60, 37.330064892661824)	(62, 36.476889641661906)	(64, 35.851236633744186)	(66, 34.62880581177047)	(68, 32.91877193698474)	(70, 30.013100971349278)	(72, 27.528916006856583)	(74, 27.258137090849726)	(76, 27.113148926618237)	(78, 27.003265039588605)	(80, 26.791124193943354)	(82, 26.718548485837893)	(84, 26.46842094522896)	(86, 26.199754101705985)	(88, 25.999918374010285)	(90, 25.843318912741815)	(92, 25.661298057301444)	(94, 25.52844665741572)	(96, 25.380555668924984)	(98, 25.24252612031671)	(100, 24.62150538731532)
SRR5413734_cleaned	(1, 34.70699386775192)	(2, 34.72978187826434)	(3, 34.74993069339868)	(4, 34.77297375220395)	(5, 34.786702003792456)	(6, 39.69800064316526)	(7, 39.69507313232571)	(8, 39.698333314851574)	(9, 39.718160547355815)	(10, 39.7058073387374)	(12, 39.694873529313924)	(14, 39.67735836502955)	(16, 39.639755375419995)	(18, 39.66483882056798)	(20, 39.68657337074042)	(22, 39.69516738930349)	(24, 39.65243571119662)	(26, 39.638557757349275)	(28, 39.6492309739518)	(30, 39.63658944987192)	(32, 39.61435589217002)	(34, 39.59686845052617)	(36, 39.52723589539876)	(38, 39.5065586414624)	(40, 39.48527291014625)	(42, 39.44248194406089)	(44, 39.359299889968334)	(46, 39.275824368027415)	(48, 39.20430084729752)	(50, 39.134496534527926)	(52, 39.10324598328869)	(54, 39.078835340115745)	(56, 39.08555256749201)	(58, 38.96870500654927)	(60, 38.67111713840019)	(62, 38.066243069238894)	(64, 37.26523008602866)	(66, 35.66632155152615)	(68, 33.36170513405358)	(70, 29.40416926316535)	(72, 26.067233998639267)	(74, 25.696513279384185)	(76, 25.340898404155613)	(78, 25.01577445481817)	(80, 24.534134114373906)	(82, 24.249725246634682)	(84, 23.74019017075285)	(86, 23.168168292091742)	(88, 22.70434750516522)	(90, 22.267100793673134)	(92, 21.80980272583544)	(94, 21.440363115646154)	(96, 21.034428457937278)	(98, 20.831159889842866)	(100, 20.38739672768508)
SRR5413735	(1, 34.66470024067606)	(2, 34.68771828233293)	(3, 34.701543584082806)	(4, 34.73286766435642)	(5, 34.7376088018675)	(6, 39.62649970141691)	(7, 39.64139266390402)	(8, 39.656448489893414)	(9, 39.688025913392806)	(10, 39.669631385606486)	(12, 39.65833951611444)	(14, 39.61454732994336)	(16, 39.562820072021864)	(18, 39.617587448652756)	(20, 39.65847523569968)	(22, 39.64417039141529)	(24, 39.5764372704077)	(26, 39.55410687464939)	(28, 39.58118745589114)	(30, 39.58488807658203)	(32, 39.551591538336254)	(34, 39.500416206728076)	(36, 39.38555219775249)	(38, 39.33953421038345)	(40, 39.29718969978828)	(42, 39.21788422214582)	(44, 39.09223503012974)	(46, 38.979162519679335)	(48, 38.85712346863068)	(50, 38.75031215504605)	(52, 38.69252275565046)	(54, 38.67262626445414)	(56, 38.63937496607011)	(58, 38.324351712781166)	(60, 36.38118202710773)	(62, 34.76500606214148)	(64, 33.67290675159697)	(66, 31.49030057364145)	(68, 28.289598450987135)	(70, 23.295624400571832)	(72, 18.99312354101446)	(74, 18.561987658565716)	(76, 18.325536997158935)	(78, 18.195979081087927)	(80, 17.929018656918984)	(82, 17.71108014693907)	(84, 17.34593112683448)	(86, 16.903231935723205)	(88, 16.622690505057818)	(90, 16.399775610285737)	(92, 16.176254501366245)	(94, 15.988536219033314)	(96, 15.75052930638244)	(98, 15.58172128625975)	(100, 15.181782812471726)
SRR5413735_cleaned	(1, 34.653350338467575)	(2, 34.67932895124105)	(3, 34.69388796232709)	(4, 34.726792897086234)	(5, 34.733562248601984)	(6, 39.619013048170316)	(7, 39.63614245070146)	(8, 39.65007357990778)	(9, 39.680682821544195)	(10, 39.6614637496321)	(12, 39.65151574610026)	(14, 39.610536642794074)	(16, 39.55050524870009)	(18, 39.604601196899836)	(20, 39.64817031295988)	(22, 39.633130579809674)	(24, 39.56482880408123)	(26, 39.55430197194153)	(28, 39.58610811341117)	(30, 39.59232806828216)	(32, 39.572324144020406)	(34, 39.54675757873051)	(36, 39.458324340233496)	(38, 39.459354458942414)	(40, 39.48003531835573)	(42, 39.464505052487)	(44, 39.40834886686942)	(46, 39.34694398116355)	(48, 39.28085941332287)	(50, 39.20113803590699)	(52, 39.16764446188561)	(54, 39.17105856960659)	(56, 39.14903365054449)	(58, 38.93028549004219)	(60, 38.44334347100951)	(62, 37.509290689688996)	(64, 36.336417149023845)	(66, 33.974031197880905)	(68, 30.504905327185323)	(70, 25.089963700578828)	(72, 20.42516432846071)	(74, 19.958049641911117)	(76, 19.701667811243013)	(78, 19.56118905130972)	(80, 19.271725694103797)	(82, 19.035416462278036)	(84, 18.639487883841852)	(86, 18.159472186794858)	(88, 17.85528303737859)	(90, 17.613577945648977)	(92, 17.371215540076523)	(94, 17.16767389384872)	(96, 16.909604630628863)	(98, 16.72656725203571)	(100, 16.292916707544393)
SRR5413736	(1, 34.577290998829696)	(2, 34.61008497430418)	(3, 34.618506080496616)	(4, 34.67132244441052)	(5, 34.676537933139976)	(6, 39.55658169236249)	(7, 39.5391034447667)	(8, 39.56434132193558)	(9, 39.60754083346054)	(10, 39.56922607235536)	(12, 39.51634610492037)	(14, 39.50541901999695)	(16, 39.453505826082534)	(18, 39.48376838141759)	(20, 39.537602401668956)	(22, 39.54131684730066)	(24, 39.5)	(26, 39.44000915890704)	(28, 39.4840482369104)	(30, 39.483679336488066)	(32, 39.47277769297308)	(34, 39.44672569073424)	(36, 39.31413779066809)	(38, 39.265722790413676)	(40, 39.31885717193304)	(42, 39.31119930799369)	(44, 39.2498600722536)	(46, 39.18868620566835)	(48, 39.101345850506284)	(50, 38.98029562916603)	(52, 38.964967180583116)	(54, 38.9099755762479)	(56, 38.90075306568971)	(58, 38.4961583473261)	(60, 36.20266625960413)	(62, 34.287602401668956)	(64, 33.14294255329975)	(66, 30.649697247239608)	(68, 26.48813158296443)	(70, 21.19539001679133)	(72, 17.128873454434437)	(74, 16.703264132702387)	(76, 16.49781203887447)	(78, 16.338447056429043)	(80, 15.92947641581438)	(82, 15.840736783188317)	(84, 15.400218796112553)	(86, 14.913969877372411)	(88, 14.632422530911311)	(90, 14.417773367933648)	(92, 14.122322291762071)	(94, 13.975423599450465)	(96, 13.748384470564291)	(98, 13.612514628809851)	(100, 13.082252073474788)
SRR5413736_cleaned	(1, 34.557483491282845)	(2, 34.59329152045976)	(3, 34.60083441549471)	(4, 34.65893957395076)	(5, 34.66507335672644)	(6, 39.541016218605805)	(7, 39.522310944105215)	(8, 39.548310446771474)	(9, 39.591219296549056)	(10, 39.550838559942534)	(12, 39.493272179703254)	(14, 39.48537009919045)	(16, 39.42854971955903)	(18, 39.46032381952311)	(20, 39.514933826983125)	(22, 39.52117812836737)	(24, 39.48078357693477)	(26, 39.43055286933938)	(28, 39.47035338325091)	(30, 39.465697786864865)	(32, 39.45707733539635)	(34, 39.43512557676899)	(36, 39.303525543613404)	(38, 39.266336031829354)	(40, 39.34490094769707)	(42, 39.35598043820628)	(44, 39.30446495178626)	(46, 39.25199624236731)	(48, 39.182424778272036)	(50, 39.0618904207996)	(52, 39.04513303677507)	(54, 38.998784295305725)	(56, 38.9981211836543)	(58, 38.66224131738181)	(60, 38.12313154477385)	(62, 37.054679081590365)	(64, 35.81742325864117)	(66, 33.11114027574393)	(68, 28.592835631199403)	(70, 22.84553642969635)	(72, 18.42976542425331)	(74, 17.967217417732712)	(76, 17.74439808802807)	(78, 17.571173983919543)	(80, 17.12702732572597)	(82, 17.03080706213909)	(84, 16.552413450114663)	(86, 16.024175945624844)	(88, 15.718412400187882)	(90, 15.485452988146879)	(92, 15.164589837813942)	(94, 15.004904263255327)	(96, 14.758337247534055)	(98, 14.610532423396789)	(100, 14.035062028569062)
SRR5413737	(1, 34.64149312177385)	(2, 34.657461794695756)	(3, 34.68821674676431)	(4, 34.72263330536273)	(5, 34.732308592061436)	(6, 39.61817580796908)	(7, 39.618824217458744)	(8, 39.63945889592392)	(9, 39.658440765886034)	(10, 39.627717598596384)	(12, 39.57540620947441)	(14, 39.54946347293208)	(16, 39.492066519185286)	(18, 39.5402840287843)	(20, 39.585551910900904)	(22, 39.5766140310728)	(24, 39.55225417651995)	(26, 39.54056373483866)	(28, 39.56553385714649)	(30, 39.54487375085819)	(32, 39.504233732550155)	(34, 39.51357845754825)	(36, 39.46494774582348)	(38, 39.458717929158084)	(40, 39.447752180435835)	(42, 39.445152185521394)	(44, 39.41122511251812)	(46, 39.33854603707377)	(48, 39.29248353548452)	(50, 39.201826989091465)	(52, 39.19291453708648)	(54, 39.15507793627788)	(56, 39.14043151015842)	(58, 38.883419787931956)	(60, 37.47357413481832)	(62, 36.165077427721414)	(64, 35.19254583365118)	(66, 33.14306328985175)	(68, 29.893578203270017)	(70, 25.197205482238665)	(72, 21.06423068121138)	(74, 20.605741602461414)	(76, 20.475926208457295)	(78, 20.266439087649708)	(80, 20.186989854298574)	(82, 19.529044930963458)	(84, 19.309253184834844)	(86, 19.144430035344673)	(88, 18.808503064052687)	(90, 18.560797925089634)	(92, 18.29327179800137)	(94, 18.175973249930074)	(96, 17.962843593459965)	(98, 17.804479111043303)	(100, 17.28548452716963)
SRR5413737_cleaned	(1, 34.637153427276886)	(2, 34.656593368527524)	(3, 34.68372337919663)	(4, 34.722741821507256)	(5, 34.73183134500007)	(6, 39.62065095398429)	(7, 39.62139917695473)	(8, 39.638455889484696)	(9, 39.65718917570769)	(10, 39.622500727439)	(12, 39.56564270967563)	(14, 39.54570395311136)	(16, 39.48012359534994)	(18, 39.53381552146984)	(20, 39.586738440647906)	(22, 39.57424034584528)	(24, 39.54643832010087)	(26, 39.538831386568006)	(28, 39.5690582089759)	(30, 39.54265563730584)	(32, 39.501752781588166)	(34, 39.51916282163196)	(36, 39.46925308480823)	(38, 39.47361474176668)	(40, 39.479738954265464)	(42, 39.48717757081168)	(44, 39.45349618000797)	(46, 39.3857967787126)	(48, 39.352312228811925)	(50, 39.25493392400959)	(52, 39.243971584120615)	(54, 39.20968863053804)	(56, 39.20554818232483)	(58, 38.948984204594936)	(60, 38.58065579863222)	(62, 37.665212587584065)	(64, 36.44817562065112)	(66, 33.857786655580696)	(68, 29.708721923584775)	(70, 23.65132141791674)	(72, 18.427154752668812)	(74, 17.916159399094994)	(76, 17.60134565158576)	(78, 17.182187172670396)	(80, 16.92713072996056)	(82, 15.906029108066178)	(84, 15.498648426862388)	(86, 15.124431469150382)	(88, 14.543521427073877)	(90, 14.069780647545112)	(92, 13.576310690472129)	(94, 13.309644145249191)	(96, 12.909363146074352)	(98, 12.724088985698728)	(100, 12.405622310700066)
