Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR5413733	(9.0, 1.0)	(10.0, 5.0)	(11.0, 12.0)	(12.0, 23.0)	(13.0, 39.0)	(14.0, 76.0)	(15.0, 89.0)	(16.0, 143.0)	(17.0, 182.0)	(18.0, 169.0)	(19.0, 185.0)	(20.0, 169.0)	(21.0, 221.0)	(22.0, 260.0)	(23.0, 1562.0)	(24.0, 2919.0)	(25.0, 2239.0)	(26.0, 5706.0)	(27.0, 4720.0)	(28.0, 7978.0)	(29.0, 1692.0)	(30.0, 2173.0)	(31.0, 2704.0)	(32.0, 3006.0)	(33.0, 4204.0)	(34.0, 2657.0)	(35.0, 608.0)	(36.0, 478.0)	(37.0, 702.0)	(38.0, 1577.0)	(39.0, 30119.0)							
SRR5413733_cleaned	(17.0, 1.0)	(18.0, 8.0)	(19.0, 16.0)	(20.0, 29.0)	(21.0, 75.0)	(22.0, 116.0)	(23.0, 215.0)	(24.0, 741.0)	(25.0, 2211.0)	(26.0, 5667.0)	(27.0, 4658.0)	(28.0, 7579.0)	(29.0, 1577.0)	(30.0, 2120.0)	(31.0, 2603.0)	(32.0, 2943.0)	(33.0, 4166.0)	(34.0, 2562.0)	(35.0, 631.0)	(36.0, 490.0)	(37.0, 657.0)	(38.0, 1405.0)	(39.0, 28689.0)															
SRR5413734	(8.0, 2.0)	(9.0, 1.0)	(10.0, 6.0)	(11.0, 13.0)	(12.0, 33.0)	(13.0, 54.0)	(14.0, 104.0)	(15.0, 144.0)	(16.0, 208.0)	(17.0, 328.0)	(18.0, 306.0)	(19.0, 310.0)	(20.0, 259.0)	(21.0, 252.0)	(22.0, 335.0)	(23.0, 1415.0)	(24.0, 2577.0)	(25.0, 2183.0)	(26.0, 5296.0)	(27.0, 4731.0)	(28.0, 7204.0)	(29.0, 1626.0)	(30.0, 2161.0)	(31.0, 2639.0)	(32.0, 3352.0)	(33.0, 5075.0)	(34.0, 3389.0)	(35.0, 759.0)	(36.0, 776.0)	(37.0, 1204.0)	(38.0, 2834.0)	(39.0, 48432.0)						
SRR5413734_cleaned	(17.0, 1.0)	(18.0, 9.0)	(19.0, 18.0)	(20.0, 42.0)	(21.0, 79.0)	(22.0, 188.0)	(23.0, 274.0)	(24.0, 767.0)	(25.0, 2140.0)	(26.0, 5215.0)	(27.0, 4635.0)	(28.0, 6805.0)	(29.0, 1515.0)	(30.0, 2074.0)	(31.0, 2536.0)	(32.0, 3276.0)	(33.0, 5025.0)	(34.0, 3298.0)	(35.0, 777.0)	(36.0, 768.0)	(37.0, 1102.0)	(38.0, 2624.0)	(39.0, 47011.0)															
SRR5413735	(4.0, 1.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 10.0)	(12.0, 17.0)	(13.0, 29.0)	(14.0, 60.0)	(15.0, 65.0)	(16.0, 113.0)	(17.0, 165.0)	(18.0, 127.0)	(19.0, 138.0)	(20.0, 130.0)	(21.0, 139.0)	(22.0, 214.0)	(23.0, 1465.0)	(24.0, 2715.0)	(25.0, 2079.0)	(26.0, 5355.0)	(27.0, 4447.0)	(28.0, 7291.0)	(29.0, 1358.0)	(30.0, 2019.0)	(31.0, 2459.0)	(32.0, 3149.0)	(33.0, 4693.0)	(34.0, 2961.0)	(35.0, 402.0)	(36.0, 270.0)	(37.0, 343.0)	(38.0, 722.0)	(39.0, 12324.0)		
SRR5413735_cleaned	(17.0, 2.0)	(18.0, 7.0)	(19.0, 17.0)	(20.0, 38.0)	(21.0, 52.0)	(22.0, 128.0)	(23.0, 172.0)	(24.0, 678.0)	(25.0, 2079.0)	(26.0, 5354.0)	(27.0, 4447.0)	(28.0, 7291.0)	(29.0, 1358.0)	(30.0, 2019.0)	(31.0, 2459.0)	(32.0, 3149.0)	(33.0, 4693.0)	(34.0, 2961.0)	(35.0, 402.0)	(36.0, 270.0)	(37.0, 343.0)	(38.0, 722.0)	(39.0, 12324.0)															
SRR5413736	(11.0, 1.0)	(12.0, 3.0)	(13.0, 8.0)	(14.0, 9.0)	(15.0, 19.0)	(16.0, 25.0)	(17.0, 30.0)	(18.0, 24.0)	(19.0, 46.0)	(20.0, 54.0)	(21.0, 71.0)	(22.0, 117.0)	(23.0, 1177.0)	(24.0, 2431.0)	(25.0, 1654.0)	(26.0, 5029.0)	(27.0, 4791.0)	(28.0, 3907.0)	(29.0, 1287.0)	(30.0, 1475.0)	(31.0, 1793.0)	(32.0, 2373.0)	(33.0, 3514.0)	(34.0, 1298.0)	(35.0, 278.0)	(36.0, 336.0)	(37.0, 482.0)	(38.0, 1206.0)	(39.0, 5868.0)									
SRR5413736_cleaned	(17.0, 1.0)	(18.0, 3.0)	(19.0, 13.0)	(20.0, 25.0)	(21.0, 53.0)	(22.0, 77.0)	(23.0, 114.0)	(24.0, 618.0)	(25.0, 1654.0)	(26.0, 5028.0)	(27.0, 4791.0)	(28.0, 3907.0)	(29.0, 1286.0)	(30.0, 1475.0)	(31.0, 1793.0)	(32.0, 2373.0)	(33.0, 3514.0)	(34.0, 1298.0)	(35.0, 278.0)	(36.0, 336.0)	(37.0, 482.0)	(38.0, 1206.0)	(39.0, 5868.0)															
SRR5413737	(10.0, 1.0)	(11.0, 1.0)	(12.0, 4.0)	(13.0, 6.0)	(14.0, 9.0)	(15.0, 13.0)	(16.0, 32.0)	(17.0, 34.0)	(18.0, 48.0)	(19.0, 59.0)	(20.0, 69.0)	(21.0, 115.0)	(22.0, 185.0)	(23.0, 1494.0)	(24.0, 3074.0)	(25.0, 2777.0)	(26.0, 7675.0)	(27.0, 6633.0)	(28.0, 8665.0)	(29.0, 2091.0)	(30.0, 2795.0)	(31.0, 3123.0)	(32.0, 4201.0)	(33.0, 6361.0)	(34.0, 3637.0)	(35.0, 668.0)	(36.0, 640.0)	(37.0, 916.0)	(38.0, 2058.0)	(39.0, 21270.0)								
SRR5413737_cleaned	(18.0, 2.0)	(19.0, 14.0)	(20.0, 27.0)	(21.0, 70.0)	(22.0, 118.0)	(23.0, 230.0)	(24.0, 847.0)	(25.0, 2760.0)	(26.0, 7637.0)	(27.0, 6570.0)	(28.0, 8201.0)	(29.0, 2018.0)	(30.0, 2716.0)	(31.0, 2954.0)	(32.0, 4089.0)	(33.0, 6184.0)	(34.0, 3467.0)	(35.0, 608.0)	(36.0, 547.0)	(37.0, 797.0)	(38.0, 1732.0)	(39.0, 20583.0)																
