Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR5413733	(1.0, 18.485212352188782)	(2.0, 5.220705317288365)	(3.0, 3.398679161554726)	(4.0, 2.526821373567569)	(5.0, 2.4341538541857006)	(6.0, 2.0517371896943275)	(7.0, 1.6353859406405806)	(8.0, 1.5244459526482028)	(9.0, 1.2803779790649716)	('>10', 11.719178260983059)	('>50', 1.5374977159414236)	('>100', 1.5388028922707457)	('>500', 5.2076535539951445)	('>1k', 14.22903234226944)	('>5k', 7.220235453809809)	('>10k+', 19.990080659897153)
SRR5413733_cleaned	(1.0, 24.782024031579404)	(2.0, 6.532772307291893)	(3.0, 3.5396694573374394)	(4.0, 2.4870226579331685)	(5.0, 2.190604259749273)	(6.0, 1.4141326508480458)	(7.0, 1.5283621799042786)	(8.0, 1.1451871773738775)	(9.0, 0.8588903830304082)	('>10', 7.106811839384607)	('>50', 1.3693084052690179)	('>100', 1.2868896311398372)	('>500', 5.860408623606473)	('>1k', 9.797712517532062)	('>5k', 7.984499486690091)	('>10k+', 22.115704391330123)
SRR5413734	(1.0, 15.725246918618888)	(2.0, 5.077136560280794)	(3.0, 3.566035425679536)	(4.0, 3.085462411231736)	(5.0, 2.7293690310995022)	(6.0, 2.4487796914537587)	(7.0, 2.128397681821892)	(8.0, 2.236552118194433)	(9.0, 1.6253775202024325)	('>10', 22.566525181617827)	('>50', 2.282466737409191)	('>100', 1.570279977144723)	('>500', 4.08640111011346)	('>1k', 10.336911272549179)	('>5k', 5.287323483797241)	('>10k+', 15.247734878785405)
SRR5413734_cleaned	(1.0, 22.555140332006342)	(2.0, 6.9705807338737396)	(3.0, 4.175029663225363)	(4.0, 3.1581632087293054)	(5.0, 2.7500859401856306)	(6.0, 2.315394936736934)	(7.0, 1.9638718548664322)	(8.0, 1.7032790339214228)	(9.0, 1.6367446966588675)	('>10', 15.906142228234954)	('>50', 1.6145665842380155)	('>100', 1.149935129021169)	('>500', 4.466671841559565)	('>1k', 7.368677851828032)	('>5k', 5.7274975326849935)	('>10k+', 16.538218432229232)
SRR5413735	(1.0, 11.302727058866108)	(2.0, 3.1450751886502233)	(3.0, 1.9760771611081955)	(4.0, 1.5996815113733014)	(5.0, 1.5110113823492155)	(6.0, 0.922893179638443)	(7.0, 0.9500370966866326)	(8.0, 0.9265123685782016)	(9.0, 0.8631765621324261)	('>10', 8.953873436962777)	('>50', 1.9145509491322994)	('>100', 2.4773348292647617)	('>500', 7.457338810372595)	('>1k', 19.853060929045803)	('>5k', 9.932864045167477)	('>10k+', 26.213785490671544)
SRR5413735_cleaned	(1.0, 11.093887962327088)	(2.0, 3.2571372510546452)	(3.0, 2.089669380947709)	(4.0, 1.6874325517512019)	(5.0, 1.520651427450211)	(6.0, 1.024232316295497)	(7.0, 1.0163837927989796)	(8.0, 0.9889139605611694)	(9.0, 0.9712547826940057)	('>10', 9.573236534876877)	('>50', 1.8404787599332875)	('>100', 2.3113901697243207)	('>500', 9.67919160207986)	('>1k', 13.76042382026881)	('>5k', 10.768174237221622)	('>10k+', 28.417541450014717)
SRR5413736	(1.0, 20.579555284180532)	(2.0, 1.8114282806696178)	(3.0, 0.709815295374752)	(4.0, 0.6004172390983564)	(5.0, 0.39434183076375107)	(6.0, 0.4732101969165013)	(7.0, 0.26713478858189593)	(8.0, 0.20353126749096828)	(9.0, 0.16028087314913753)	('>10', 1.3178649570040197)	('>50', 1.5926321681168267)	('>100', 4.89238284231415)	('>500', 5.457182109601588)	('>1k', 36.388846486541496)	('>5k', 25.151376380196407)	('>10k+', 0.0)
SRR5413736_cleaned	(1.0, 21.971099383858757)	(2.0, 1.9340756499875666)	(3.0, 0.7460006078523471)	(4.0, 0.641007929710165)	(5.0, 0.42825960821153264)	(6.0, 0.5139115298538391)	(7.0, 0.2707705909982593)	(8.0, 0.22103721714143618)	(9.0, 0.14920012157046944)	('>10', 1.3980603984195838)	('>50', 1.9313126847732989)	('>100', 4.768877959826486)	('>500', 7.711435913021855)	('>1k', 30.011328157378497)	('>5k', 27.303622247395904)	('>10k+', 0.0)
SRR5413737	(1.0, 29.105957738957965)	(2.0, 1.5765250336918657)	(3.0, 0.6789228774124647)	(4.0, 0.49838533323162204)	(5.0, 0.43227299310906)	(6.0, 0.4500724692959036)	(7.0, 0.26699214280265465)	(8.0, 0.3153050067383731)	(9.0, 0.2975055305515295)	('>10', 3.4187708190301827)	('>50', 0.855646248124698)	('>100', 1.4544714826963665)	('>500', 4.782973529636128)	('>1k', 20.246904162534644)	('>5k', 10.408879395834923)	('>10k+', 25.210415236351615)
SRR5413737_cleaned	(1.0, 30.37508140388799)	(2.0, 1.7513959900791176)	(3.0, 0.764850147566197)	(4.0, 0.49327292125646033)	(5.0, 0.42260741849219213)	(6.0, 0.3491707195410899)	(7.0, 0.2715772263097366)	(8.0, 0.22169569494672375)	(9.0, 0.21199650829280461)	('>10', 2.832162502944396)	('>50', 0.82858765986338)	('>100', 1.5781962284019897)	('>500', 5.144725720857408)	('>1k', 16.003657978966622)	('>5k', 11.323107619403917)	('>10k+', 27.42791425918998)
SRR5413805	(1.0, 7.3630325165680635)	(2.0, 2.1357632477009747)	(3.0, 1.4586838877792612)	(4.0, 1.1587393701979989)	(5.0, 0.9422977757748591)	(6.0, 0.7997567963672416)	(7.0, 0.6617756145774379)	(8.0, 0.614677314659306)	(9.0, 0.52359034066353)	('>10', 6.2708979303579175)	('>50', 2.17195552227874)	('>100', 9.637537804374494)	('>500', 8.595762545985416)	('>1k', 36.746201833602235)	('>5k', 13.563207320284207)	('>10k+', 7.356120178828301)
SRR5413805_cleaned	(1.0, 6.452769507829864)	(2.0, 2.064551263894772)	(3.0, 1.429329777690598)	(4.0, 1.1358867721890593)	(5.0, 0.9239201189493822)	(6.0, 0.7925320509960773)	(7.0, 0.6559762889411531)	(8.0, 0.6132630252550124)	(9.0, 0.5223502236067326)	('>10', 6.138589255490704)	('>50', 2.139505766196883)	('>100', 9.668434891634234)	('>500', 8.736315211970606)	('>1k', 37.56529222745552)	('>5k', 13.615209871964984)	('>10k+', 7.54607374593442)
SRR5413806	(1.0, 7.179636083610397)	(2.0, 2.0619775227443347)	(3.0, 1.424769701050576)	(4.0, 1.0999514782274447)	(5.0, 0.9087725341837571)	(6.0, 0.7783057066286191)	(7.0, 0.6451630174136038)	(8.0, 0.5611197589943143)	(9.0, 0.4846003143994244)	('>10', 5.910947821590616)	('>50', 1.9848381919103049)	('>100', 9.576605176336143)	('>500', 8.215123774090024)	('>1k', 38.048702428437565)	('>5k', 13.790474437814579)	('>10k+', 7.329012052568297)
SRR5413806_cleaned	(1.0, 6.285935866301359)	(2.0, 2.0102065417432424)	(3.0, 1.393905221432612)	(4.0, 1.0854443001410068)	(5.0, 0.8824928207039124)	(6.0, 0.7658818001325414)	(7.0, 0.6346266013289396)	(8.0, 0.5502444697879004)	(9.0, 0.4778712092268674)	('>10', 5.790926701122028)	('>50', 1.9546151130995164)	('>100', 9.544880599454999)	('>500', 8.397586345639779)	('>1k', 38.59672030829825)	('>5k', 14.122926152957705)	('>10k+', 7.505735948629341)
